Region,Expansion ε,Expansion 95% CrI,P(ε<1) expansion,Contraction ε,Contraction 95% CrI,P(ε<1) contraction
Middle East & North Africa,0.732072247107122,0.43–0.97,0.9858333333333332,0.7370457735597894,-0.23–1.75,0.7163333333333334
North America,0.7928709663012551,0.39–1.16,0.8955,0.7390883502192761,-0.26–1.74,0.7131666666666666
East Asia & Pacific,0.8019152058190833,0.53–1.07,0.9318333333333332,0.7297016337869078,-0.20–1.67,0.728
South Asia,0.8115270926605876,0.48–1.13,0.8973333333333333,0.7550030404414205,-0.25–1.75,0.7015
Europe & Central Asia,0.8188522278058586,0.54–1.12,0.9021666666666668,0.7032193399988155,-0.09–1.47,0.7746666666666666
Sub-Saharan Africa,0.8279148313479764,0.58–1.10,0.9041666666666668,0.767169984786623,-0.24–1.77,0.6903333333333334
Latin America & Caribbean,0.8303931532580897,0.58–1.10,0.9006666666666666,0.7941689428390372,-0.13–1.78,0.6861666666666667
**Global**,0.8054006570724173,0.58–1.03,0.9611666666666666,0.7509242556444933,0.01–1.49,0.7348333333333333
