row,regime,n_blocks,posterior_mean,ci95_lo,ci95_hi,P_eps_lt_1
Latin America & Caribbean,expansion,166,0.8303931532580897,0.5819348372459308,1.1047371431167428,0.9006666666666666
Sub-Saharan Africa,expansion,243,0.8279148313479764,0.5832731802806134,1.100789286159398,0.9041666666666667
Europe & Central Asia,expansion,140,0.8188522278058586,0.5395899656684481,1.1216624316343087,0.9021666666666667
South Asia,expansion,41,0.8115270926605876,0.4823296846740096,1.133001862875285,0.8973333333333333
East Asia & Pacific,expansion,134,0.8019152058190833,0.5314452016263048,1.068045258129623,0.9318333333333333
North America,expansion,12,0.7928709663012551,0.38643294132161476,1.1584115754879827,0.8955
Middle East & North Africa,expansion,91,0.732072247107122,0.4299997128884434,0.9749246732315592,0.9858333333333333
Global,expansion,827,0.8054006570724173,0.5766871329119753,1.0290470643707437,0.9611666666666666
Global,contraction,69,0.7509242556444933,0.009443779401076527,1.4862069141208931,0.7348333333333333
