Specification,Median GDP growth (%/yr),Max GDP growth (%/yr),USA 2100 (T),CHN 2100 (T),JPN 2100 GDPpc (k),"Median GDPpc growth, depopulating (%/yr)",Spearman ρ of 2100 ranking vs reported,Largest rank shift in top 20
s_ss = 1.77 %/yr (reported),1.9908250627582997,3.9539476682835,87.86033929830715,50.06058474609309,215.78954030536306,2.10410084822262,1.0,0
s_ss = 1.51 %/yr,1.89742787886056,3.91667660053625,72.65691009409846,46.51165942130411,189.75389566587822,1.98695192189343,0.9997895208240037,1
s_ss = 2.02 %/yr,2.04783605733139,3.9861250145368,106.24507994650844,52.51052514776453,240.4908063213789,2.17062567978759,0.9996686072548141,1
convergence term removed,2.08765284733969,4.03411912301302,109.63430728791741,56.36453816939625,280.55799989893256,2.2504372325964703,0.9987774294670847,1
ε = 0.92 in both regimes,1.95213592291818,4.15697089672065,88.13874776428882,51.790509339825,203.0874164046449,1.9944992516869198,0.9978817733990148,2
ε = 0.98 expansion / 1.22 contraction,1.87688469471589,4.24329593560529,88.4112431767296,40.06744778860679,180.3893808294708,1.77422446107377,0.9931056874160324,4
