,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
adaptive_HalfNormal,0,2750.6300930596153,253.76480971645333,0.0,0.7005251552033439,94.8557675309289,0.0,False,log
fixed_0.05,1,2699.6941539810114,246.50914148482616,50.935939078604264,0.29947484479665615,96.55533248542355,16.591480816784937,False,log
