label,n_obs,n_countries,free_country_intercepts,elasticity_mean,elasticity_q2.5,elasticity_q97.5,P_lt_1,delta_mean,delta_q2.5,delta_q97.5,P_delta_lt_0,contraction_elasticity_mean,contraction_P_lt_1,sigma_alpha_country,residual_sigma,max_rhat,min_ess_bulk,divergences,winsorised
"pooled intercepts, with winsorisation",896,179,False,0.7988259829304488,0.5765999502731518,1.0269122563126656,0.9616666666666667,-0.04653389488189212,-0.8168294676025034,0.7112245894310938,0.548,0.7522920880485569,0.742,0.029900911715295464,0.24278918939260893,1.0,2366.0,1,True
"free country intercepts, with winsorisation",896,179,True,0.9317656189056762,0.5704953762828056,1.2607026579959995,0.6458333333333334,0.1274726628538391,-0.7229655052925578,0.9673861959641545,0.3858333333333333,1.0592382817595154,0.45116666666666666,,0.2368605213396469,1.0,1895.0,1,True
"pooled intercepts, no winsorisation",896,179,False,0.8563987929867529,0.6137708104453286,1.1036229103230348,0.8841666666666667,-0.011070228845738052,-0.7643601421513065,0.7404935717896185,0.514,0.845328564141015,0.657,0.02713207876010074,0.27747708351051203,1.0,2391.0,0,False
"free country intercepts, no winsorisation",896,179,True,0.9962240699738992,0.6119161273406679,1.3668310541165642,0.501,0.15775341719766403,-0.7028292938521173,1.0493164426477062,0.36583333333333334,1.1539774871715633,0.38266666666666665,,0.26984562419117597,1.0,1913.0,1,False
