Region,beta_mean,hdi_lo,hdi_hi
Middle East & North Africa,0.9188638929984759,0.6294428849074143,1.145112567656714
Europe & Central Asia,0.9537910177331557,0.6746799896367748,1.2042020660307169
South Asia,0.9859220186887416,0.65621026682881,1.3132805197988016
Sub-Saharan Africa,1.0191143684586852,0.749925248228293,1.2597897477759126
North America,1.0356623530985472,0.6737893873783943,1.4806395186800636
East Asia & Pacific,1.0389156126305177,0.8060303479788234,1.2927580430971628
Latin America & Caribbean,1.0539266072199889,0.819532645676222,1.3321552115474833
