Region,beta_growth,growth_hdi_lo,growth_hdi_hi,beta_decline,decline_hdi_lo,decline_hdi_hi
Middle East & North Africa,0.7143829586070016,0.42285668648050057,0.992377076605848,0.6684117923102577,-0.6465905787707507,1.9596583877044775
North America,0.7772928584909202,0.3679529111158413,1.1912102915520155,0.679775592512417,-0.6643657898277991,2.0278745165725036
East Asia & Pacific,0.7928859443064791,0.5256946255795008,1.0766126303505859,0.676012188303343,-0.4977506794249321,1.9335741996875186
South Asia,0.7952268427353498,0.4667162294109229,1.1500326392510136,0.6963951448949168,-0.6845618787683222,1.954258381061811
Europe & Central Asia,0.8134253700120726,0.5119458990880825,1.1368081631172076,0.6616987003090646,-0.37558032609857017,1.6263309377472996
Sub-Saharan Africa,0.8239623913801907,0.5647529585660936,1.100319549505029,0.7274778149850036,-0.6229385716700688,2.0147143248685193
Latin America & Caribbean,0.8239643676504487,0.561590479131774,1.1018225051173567,0.752059527185231,-0.5346406729631018,2.03136870763238
