ISO3,Country,Region,g_pop,P_concordant_expansion,P_benign_divergence,P_reverse_divergence,P_concordant_contraction,P_pc_gain,P_agg_loss
SUR,Suriname,Latin America & Caribbean,0.001462290059175028,0.897,0.0,0.021,0.082,0.897,0.082
TON,Tonga,East Asia & Pacific,0.0016252451160123499,0.992,0.0,0.002,0.006,0.992,0.006
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,0.001636003652428086,0.995,0.0,0.002,0.003,0.995,0.003
LAO,Lao PDR,East Asia & Pacific,0.002303357297731328,0.994,0.0,0.002,0.004,0.994,0.004
BGD,Bangladesh,South Asia,0.0024192744620818133,0.983,0.0,0.007,0.01,0.983,0.01
USA,United States,North America,0.0026120390472455907,0.964,0.0,0.019,0.017,0.964,0.017
MYS,Malaysia,East Asia & Pacific,0.002810883812733879,0.994,0.0,0.002,0.004,0.994,0.004
LBN,Lebanon,Middle East & North Africa,0.0028179774583694645,0.96,0.0,0.017,0.023,0.96,0.023
NIC,Nicaragua,Latin America & Caribbean,0.0028850853672521956,0.863,0.0,0.046,0.091,0.863,0.091
HTI,Haiti,Latin America & Caribbean,0.003319756969097304,0.895,0.0,0.04,0.065,0.895,0.065
KHM,Cambodia,East Asia & Pacific,0.003341765650492869,0.991,0.0,0.006,0.003,0.991,0.003
PRY,Paraguay,Latin America & Caribbean,0.003510591310065138,0.916,0.0,0.045,0.039,0.916,0.039
PAN,Panama,Latin America & Caribbean,0.0035296593714432907,0.905,0.0,0.044,0.051,0.905,0.051
LBY,Libya,Middle East & North Africa,0.003707789431548931,0.947,0.0,0.036,0.017,0.947,0.017
TKM,Turkmenistan,Europe & Central Asia,0.0037244925241086122,0.99,0.0,0.005,0.005,0.99,0.005
CAN,Canada,North America,0.003938919810374673,0.955,0.0,0.022,0.023,0.955,0.023
DZA,Algeria,Middle East & North Africa,0.004214249244236407,0.961,0.0,0.02,0.019,0.961,0.019
LSO,Lesotho,Sub-Saharan Africa,0.004374514488417071,0.934,0.0,0.039,0.027,0.934,0.027
GTM,Guatemala,Latin America & Caribbean,0.0045001775133341115,0.91,0.0,0.048,0.042,0.91,0.042
TLS,Timor-Leste,East Asia & Pacific,0.004507748147073438,0.994,0.0,0.006,0.0,0.994,0.0
BOL,Bolivia,Latin America & Caribbean,0.004713300091887258,0.918,0.0,0.048,0.034,0.918,0.034
ZAF,South Africa,Sub-Saharan Africa,0.005100513383199327,0.869,0.0,0.07,0.061,0.869,0.061
BWA,Botswana,Sub-Saharan Africa,0.005525452870264606,0.909,0.0,0.068,0.023,0.909,0.023
HND,Honduras,Latin America & Caribbean,0.005961209606219346,0.919,0.0,0.058,0.023,0.919,0.023
MNG,Mongolia,East Asia & Pacific,0.006085649094744447,0.993,0.0,0.006,0.001,0.993,0.001
AUS,Australia,East Asia & Pacific,0.006307605847916645,0.985,0.0,0.013,0.002,0.985,0.002
KAZ,Kazakhstan,Europe & Central Asia,0.006470284567833515,0.992,0.0,0.005,0.003,0.992,0.003
KIR,Kiribati,East Asia & Pacific,0.006630007311328459,0.994,0.0,0.005,0.001,0.994,0.001
WSM,Samoa,East Asia & Pacific,0.007432974024187753,0.991,0.0,0.009,0.0,0.991,0.0
PNG,Papua New Guinea,East Asia & Pacific,0.007456632690761783,0.993,0.0,0.007,0.0,0.993,0.0
SLE,Sierra Leone,Sub-Saharan Africa,0.008050456235381283,0.917,0.0,0.069,0.014,0.917,0.014
JOR,Jordan,Middle East & North Africa,0.00806379502114093,0.94,0.0,0.055,0.005,0.94,0.005
KEN,Kenya,Sub-Saharan Africa,0.008068629483618129,0.913,0.0,0.074,0.013,0.913,0.013
TJK,Tajikistan,Europe & Central Asia,0.008496885216845163,0.988,0.0,0.01,0.002,0.988,0.002
BHR,Bahrain,Middle East & North Africa,0.008603632082911363,0.941,0.0,0.047,0.012,0.941,0.012
KWT,Kuwait,Middle East & North Africa,0.00875947498585396,0.938,0.0,0.051,0.011,0.938,0.011
