ISO3,g_pop_pct,g_agg_A_pct,g_agg_B_pct,g_agg_fitted_pct,oadr_2024,oadr_2050,oadr_2100,pressure_2050_pct,pressure_2100_pct,benefit_shortfall_2050_pct,benefit_shortfall_2100_pct,benefit_shortfall_2100_fitted_vs_B_pct,debt_wedge_pp_per_100pct_debt,doubling_years_A,doubling_years_B,doubling_delay_years,npv_ratio_B_over_A,gdp_2100_ratio_B_over_A
ABW,-0.47763584165992884,0.8488484471589652,0.6293562956607056,0.942281231877622,0.2552294267462736,0.3718819820647017,0.5165602257537502,14.570497877362461,20.239054420134263,-4.680438545331378,-15.364301063650032,-21.165774646737347,0.21949215149825954,55.0,65.0,10.0,0.9421230006591441,0.8463569893634998
AFG,1.4687260753561642,4.156970896720658,4.243295935605291,3.9539476682835057,0.0487843926283892,0.0826879294011424,0.3294509295763632,16.949668725202834,67.53203469927904,4.479750830083562,6.780701810479117,24.595796415701198,-0.0863250388846333,22.0,21.0,-1.0,1.0526912353027176,1.0678070181047912
AGO,1.8110018546841276,3.21544851761875,3.3414614390706325,2.986418273430319,0.0521911690679762,0.0678517892478477,0.1674592644912326,13.000626439211274,32.08574697246691,4.817272201370915,10.050572076498533,30.97454506966404,-0.1260129214518825,45.0,41.0,-4.0,1.0626167106780526,1.1005057207649853
ALB,-1.1275444333749354,0.8568331663282358,0.4277020010340267,1.231713306839015,0.2546011295428436,0.4655914402028898,0.7435080591069662,18.28709248222488,29.202857836569446,-9.411555956820406,-27.82956313343774,-45.721858590848626,0.4291311652942091,39.0,50.0,11.0,0.8928407962755587,0.7217043686656226
ARE,1.135381684565757,2.6524499476037495,2.690382668114156,2.499054422629552,0.0257030619555898,0.1847017845520778,0.4341960991976789,71.859837116375,168.92777208718965,1.1364476782162125,2.924844163437279,15.651302674936218,-0.03793272051040644,48.0,47.0,-1.0,1.015486287599511,1.0292484416343728
ARG,-0.23383433803795098,1.062424259586293,0.9239025711317437,1.145274189552111,0.1900887563208754,0.2849182559758419,0.5126234018200168,14.988695885562612,26.96758144677918,-0.13429464289640425,-9.992436763312663,-15.48510796053545,0.13852168845454924,51.0,57.0,6.0,0.9840095924722725,0.9000756323668734
ARM,-0.7418760149737347,1.2980105879892818,1.0105571900404466,1.4956351295288506,0.2155057969731834,0.36886327507757904,0.6075641974749078,17.11616486694689,28.19247584094039,-6.905678417432625,-19.62480541275806,-30.83389351367848,0.2874533979488352,36.0,42.0,6.0,0.9184234236762369,0.8037519458724194
ATG,-0.4233240966693909,0.9087318295034591,0.7018046183646182,1.013227970818191,0.1347143334447043,0.3085938986490772,0.5187580666212277,22.907280224620244,38.5080082687831,-2.1370784533122356,-14.552213471465869,-21.075757385975546,0.20692721113884094,53.0,61.0,8.0,0.9623099612436491,0.8544778652853414
AUS,0.6307605847916645,2.4772476810110895,2.4935851864290637,2.4377259609376094,0.2750370802998297,0.372377211364454,0.5311306914987534,13.539163917771004,19.31123944886795,0.7440543735210525,1.2493908938913778,4.336702883820398,-0.016337505417974435,37.0,37.0,0.0,1.0078301929584361,1.0124939089389138
AUT,-0.2752233678607425,1.6453774757065367,1.5352188316266846,1.712341160128748,0.3335337874030867,0.5451539651494098,0.6128762840840521,16.344789815568912,18.375238348592575,-4.699470714341036,-8.03117908713159,-12.594586830049082,0.1101586440798519,39.0,42.0,3.0,0.9507011255305804,0.919688209128684
AZE,-0.04075519247152973,1.952135922918187,1.8610592728751656,1.9908250627583015,0.1235952421965231,0.2648516354158957,0.4490181989087369,21.42895071921679,36.329731705592174,-0.38576821410212236,-6.687700000573993,-9.391485679855283,0.0910766500430215,36.0,37.0,1.0,0.9825613811372191,0.9331229999942602
BDI,1.304998720813801,2.727328297864139,2.822024007929022,2.461043645301255,0.0567727976152715,0.0662544100014617,0.1727021189315276,11.670097790572807,30.419871168207486,4.112623351045364,7.4621750485964755,31.566872908696,-0.09469571006488313,47.0,43.0,-4.0,1.0476392918920856,1.074621750485965
BEL,-0.07826944306577328,1.930456693025991,1.8768846947158986,1.9789477486702594,0.328823109082841,0.4626453996723434,0.5470689989132241,14.069734969745944,16.637182235735143,-1.9331986482927221,-3.989700970351373,-7.463582940263458,0.053571998310092406,37.0,39.0,2.0,0.9783638988356014,0.9601029902964863
BEN,1.3249217747966617,2.696598224472595,2.789740094077111,2.6073628329184704,0.0605324008775583,0.078799619746128,0.1742934105508393,13.017758853728543,28.793407831847063,3.808145917045014,7.335345853405495,14.86722595876051,-0.09314186960451623,47.0,43.0,-4.0,1.0452214517442169,1.073353458534055
BFA,0.9868805925526134,2.5950765431303884,2.670230781975935,2.607452447495622,0.045881571989514,0.0670475114535491,0.1909521454372462,14.613167889904135,41.618483665051265,3.5349168432672773,5.87799149152386,4.886804912519871,-0.07515423884554666,41.0,38.0,-3.0,1.0391629913334155,1.0587799149152388
BGD,0.24192744620818132,2.558388213420312,2.472307773610421,2.5986025027634296,0.0838252783782576,0.240052378940288,0.6293630665429215,28.637230151155958,75.08034315173408,1.0491533115997598,-6.332708474645877,-9.15214430818645,0.08608043980989112,29.0,28.0,-1.0,0.9918912743915466,0.9366729152535412
BGR,-0.8540049704740624,1.3078897936602516,1.0298675570819225,1.5462004801740574,0.3560100615724282,0.5037640067642363,0.5166719032374003,14.150274420312932,14.512845534627857,-9.159732159055412,-19.04663191897914,-32.457490877471095,0.278022236578329,36.0,41.0,5.0,0.9105486420776081,0.8095336808102085
BHR,0.8603632082911363,2.3891763257250163,2.4072309870903927,2.2991365030933313,0.0487415354434635,0.17756451972208231,0.5504095388741086,36.429816604370984,112.92412802886405,1.283792088229574,1.381611506867908,8.562060303716423,-0.018054661365376687,46.0,44.0,-2.0,1.0105853191692884,1.0138161150686789
BIH,-1.104858977459326,1.238815438566554,0.8542075045820741,1.6202514968812916,0.2981304362605936,0.4898023801054412,0.6159152235702318,16.429130358139904,20.65925342261482,-10.380225637330643,-25.345697634183438,-44.13283877366688,0.38460793398447984,33.0,43.0,10.0,0.8859679020703309,0.7465430236581657
BLR,-0.964615004678089,1.1963142169173828,0.8821484583041297,1.419444527380243,0.2686444230298394,0.4004193430396809,0.45699678516154174,14.905179810682496,17.011214303554752,-7.895181648299465,-21.240082251301683,-33.5250507628724,0.31416575861325324,35.0,40.0,5.0,0.913908157072709,0.7875991774869833
