ISO3,Region,n_obs,beta_growth,growth_hdi_lo,growth_hdi_hi,beta_decline,decline_hdi_lo,decline_hdi_hi
GNB,Sub-Saharan Africa,5,0.779622791916782,0.2738389748591723,1.2601004741667925,0.6831382155215938,-0.7376731912182967,2.036412638073806
ROU,Europe & Central Asia,3,0.7806350013561496,0.16040001688799907,1.3004281947047898,0.6289083316531455,-0.44859686060079224,1.7450910312134855
PAK,South Asia,6,0.7811673806925181,0.28869812405252737,1.2844966612831856,0.6823356828520916,-0.7233175211831786,2.0588119477095566
TUN,Middle East & North Africa,5,0.7812395016304045,0.2800221179801436,1.3206534300845592,0.7352683353336557,-0.6656751789135845,2.0797351396664876
CHE,Europe & Central Asia,6,0.7813335753787839,0.22975821468056393,1.3279515719132449,0.6296069056757805,-0.46439899171490495,1.7410101757484044
GUM,East Asia & Pacific,1,0.7831830321288017,0.2184398353358241,1.3338612923873867,0.6663092761256585,-0.6087484659183965,2.031094410865691
MNG,East Asia & Pacific,3,0.7876226592600504,0.2668044357076234,1.319557564405159,0.6707489032569119,-0.6474725811159623,1.9646429696075258
AFG,South Asia,2,0.7878843424554954,0.30073534998667195,1.2838000130520062,0.6890526446150675,-0.7806837865806104,1.980946586554499
TKM,Europe & Central Asia,3,0.788626864765194,0.30268840866717367,1.3372036688385511,0.6369001950621842,-0.4424015631504169,1.706066347748203
MDV,South Asia,5,0.7888943480313391,0.3300940347313033,1.2715579816657738,0.6900626501909118,-0.7248157134311208,2.0252924326183077
CUW,Latin America & Caribbean,2,0.7897088813318618,0.24569452837693656,1.392133684054686,0.7178040408666456,-0.6186132838600663,2.1037985542067217
ATG,Latin America & Caribbean,4,0.7927248762636819,0.2693238022059289,1.3062326284083574,0.7208200357984662,-0.6807705818094671,1.9853756276425762
COM,Sub-Saharan Africa,4,0.7930939895161518,0.29194396082036883,1.2656119040983405,0.6966094131209675,-0.679362486903642,2.090434432723883
RUS,Europe & Central Asia,3,0.7932613495821255,0.20540817365682112,1.3491620575659078,0.6415346798791167,-0.5357978222085262,1.7067481725102231
TLS,East Asia & Pacific,3,0.7936462548316575,0.2952943847326962,1.3045574471303476,0.6767724988285185,-0.6071363398692969,1.9864437796170034
ARG,Latin America & Caribbean,6,0.7938666800787952,0.24766311247282122,1.3545693893082975,0.7219618396135782,-0.6408588230881951,2.0913190548532428
LTU,Europe & Central Asia,3,0.79454558111004,0.24190206862511357,1.3613580455994145,0.6428189114070373,-0.4213975414957599,1.7431991158312428
LUX,Europe & Central Asia,6,0.7947228156678232,0.2654377608464389,1.3668103146704924,0.6429961459648146,-0.4866191196246751,1.690210701220064
ZWE,Sub-Saharan Africa,6,0.795754206806701,0.3273874581431811,1.2540549288152165,0.699269630411514,-0.735978427605836,1.982982391822491
GUY,Latin America & Caribbean,6,0.7981125128097287,0.21904832601297794,1.3198655752059063,0.7262076723445099,-0.5910559062498253,2.0997745376584516
CHI,Europe & Central Asia,1,0.7989869141094652,0.22058279923270427,1.3930261428538087,0.6472602444064589,-0.45740371245322375,1.7410928845492415
GBR,Europe & Central Asia,6,0.8014952039320885,0.2310648860831781,1.3832092568415446,0.6497685342290833,-0.46476341849729375,1.7158359717492118
CZE,Europe & Central Asia,3,0.8018906290542944,0.2107049268868702,1.346418987616135,0.6501639593512895,-0.42598497027543025,1.7785496255423827
BGR,Europe & Central Asia,4,0.8021078165376263,0.2072430562786849,1.3222078917829314,0.6503811468346202,-0.42380928655145095,1.7490052475526146
SVK,Europe & Central Asia,3,0.8022155226265814,0.23014409724684246,1.3397552311096532,0.6504888529235769,-0.4444231028440071,1.7570230563310676
BEL,Europe & Central Asia,6,0.8039491300889741,0.24990982727941757,1.3645369959201767,0.6522224603859678,-0.41820001525931166,1.775122649617749
MKD,Europe & Central Asia,3,0.8055466983623796,0.2814456197866528,1.4124695787409145,0.6538200286593726,-0.44318584467417155,1.7668837132669495
NOR,Europe & Central Asia,6,0.8065318134939051,0.25130323958993983,1.3536518197329905,0.6548051437908997,-0.4418905748449967,1.7753711348556007
POL,Europe & Central Asia,3,0.8066340209390195,0.2849303423213454,1.4037886233919792,0.6549073512360108,-0.43818935446508955,1.764453786470104
SUR,Latin America & Caribbean,6,0.8069752567389671,0.302132439929391,1.2827828760975277,0.7350704162737486,-0.5897200675108007,2.0544639344330307
CMR,Sub-Saharan Africa,6,0.8077583166230956,0.3131438352014229,1.260173702993052,0.7112737402279095,-0.7350120288216884,2.0260403471468384
SOM,Sub-Saharan Africa,6,0.8085694336392129,0.3531465575432619,1.2552744424531674,0.7120848572440281,-0.7085333953082205,2.0217456111093286
SWE,Europe & Central Asia,6,0.8088033642192151,0.20470599396502512,1.3457515352743408,0.6570766945162069,-0.4670423299456623,1.7493907007187053
NGA,Sub-Saharan Africa,6,0.809473837501565,0.32112784390939103,1.2795213026910974,0.7129892611063786,-0.6515847036590993,2.117124468452956
CIV,Sub-Saharan Africa,6,0.8094955309141438,0.393844592354544,1.246524051155463,0.7130109545189572,-0.6107215963999406,2.090450909165974
AUT,Europe & Central Asia,6,0.8099361170441158,0.25768751694883857,1.3924075683093744,0.658209447341111,-0.4393695201079025,1.750635220694433
NLD,Europe & Central Asia,6,0.8100651378723037,0.27671655703142906,1.385246410914462,0.658338468169299,-0.4099997518247328,1.8052452015627911
GHA,Sub-Saharan Africa,6,0.8105010580110728,0.33343775349621546,1.2989924062354175,0.7140164816158869,-0.7484684579191833,2.037865800966063
EST,Europe & Central Asia,3,0.8121619741762998,0.2255942707315175,1.3727744126490096,0.6604353044732959,-0.44269963736779716,1.757922983303656
DNK,Europe & Central Asia,6,0.8122288046020943,0.18735546552990953,1.3602926800352038,0.66050213489909,-0.45921757607889885,1.7344315667191608
STP,Sub-Saharan Africa,5,0.8122745799653043,0.34004268867793674,1.3309430595037133,0.7157900035701168,-0.6242603599837749,2.120040261348815
ISL,Europe & Central Asia,6,0.8123847465022144,0.2723036555545396,1.3119148172985218,0.6606580767992071,-0.43032756974660563,1.744211176216537
BLR,Europe & Central Asia,3,0.8124186453567772,0.2623653850936899,1.3871153930552755,0.6606919756537709,-0.40486343405087344,1.800921026289104
SLE,Sub-Saharan Africa,6,0.812773303356541,0.29445826198123687,1.2802711998167828,0.716288726961354,-0.6336569555234837,2.133485189912627
SVN,Europe & Central Asia,3,0.8133276011194301,0.25400093941234075,1.3707919027502993,0.6616009314164228,-0.5171981193037115,1.6835866078806414
BOL,Latin America & Caribbean,6,0.8134035228660831,0.3420794245701775,1.3002947602818404,0.7414986824008667,-0.5892475364947386,2.0796222209031128
MNE,Europe & Central Asia,2,0.8135618515919193,0.2083132499212032,1.3544312107812666,0.6618351818889131,-0.43417439537890523,1.784690212057805
LBN,Middle East & North Africa,3,0.8148461503219152,0.2801406496876799,1.3996060683359626,0.7688749840251721,-0.6092407911682227,2.1234089433202583
IRQ,Middle East & North Africa,6,0.8160063693251426,0.3471739997361563,1.3125246349285453,0.7700352030283978,-0.6279627537773718,2.0711400074090274
TGO,Sub-Saharan Africa,6,0.8167676427140157,0.3731278876719979,1.3187841308560082,0.7202830663188301,-0.5847105585912326,2.1426541597251303
LVA,Europe & Central Asia,3,0.8170067613100223,0.2738599059584876,1.379737097544122,0.6652800916070155,-0.3880750139854817,1.7867617703830037
BRB,Latin America & Caribbean,6,0.8171500764700695,0.29040937905644904,1.3649778415724023,0.7452452360048589,-0.6653342832165191,2.058205575844899
FRA,Europe & Central Asia,6,0.817277312286964,0.2504371213346966,1.3824282146287816,0.6655506425839582,-0.43324503052234353,1.7792390138160044
UZB,Europe & Central Asia,3,0.8175895310807427,0.2988018079422442,1.326615168432859,0.6658628613777385,-0.39416283939202046,1.7753107376836346
URY,Latin America & Caribbean,6,0.817731100420613,0.2884797797827108,1.3626848449684612,0.7458262599553979,-0.6135070748496947,2.043468562805828
IND,South Asia,6,0.8182686968427614,0.2776089130225972,1.3505181302360232,0.7194369990023302,-0.6411004920253331,2.111997556448683
GTM,Latin America & Caribbean,6,0.8185042276255594,0.36528155949119295,1.292903364760217,0.7465993871603425,-0.634705792525466,2.044716663058771
LKA,South Asia,5,0.8185071945090758,0.25016713922795286,1.3719069156331687,0.7196754966686438,-0.7058962007933967,2.0644461398341387
DEU,Europe & Central Asia,6,0.8189276460570727,0.2353574103110884,1.3705301247114403,0.6672009763540724,-0.4276933752545973,1.7530979773641424
TJK,Europe & Central Asia,3,0.8218629124152378,0.32450949324030365,1.3552284767678842,0.6701362427122294,-0.3677945189427986,1.8516608929571836
ECU,Latin America & Caribbean,6,0.8223683048231608,0.3360632893555925,1.2550522994956514,0.7504634643579443,-0.5341852386797882,2.1215214895211094
ISR,Middle East & North Africa,6,0.8232704485863475,0.3500110034214231,1.3450142075264782,0.7772992822896058,-0.6317075341934122,2.0872923536204
ESP,Europe & Central Asia,6,0.8236630573446306,0.2782447330500274,1.3947452352563838,0.6719363876416262,-0.4047880027003977,1.7299783908500812
FIN,Europe & Central Asia,6,0.8243022990021355,0.2987191231173811,1.4348234180419521,0.6725756292991322,-0.4446919479753859,1.7694298879812942
GRD,Latin America & Caribbean,4,0.8271389371782598,0.29935429175723094,1.3810571241869043,0.7552340967130445,-0.5625491813177075,2.1461783506091057
UKR,Europe & Central Asia,3,0.8303576097504219,0.2998393118530652,1.4130889690989437,0.6786309400474173,-0.3986862385654067,1.7599902012226472
MEX,Latin America & Caribbean,6,0.8306391985996018,0.3585570415840497,1.294869302041924,0.7587343581343845,-0.5686148762694926,2.0848396777423908
MWI,Sub-Saharan Africa,6,0.830827655539814,0.3846490003787149,1.2820232283022397,0.7343430791446293,-0.6012053341529064,2.1369252738289646
HUN,Europe & Central Asia,6,0.8310174978359421,0.2811673371587141,1.4359226816981352,0.6792908281329344,-0.42059649566831736,1.774718843786785
PRT,Europe & Central Asia,6,0.8318789704771674,0.2644607417062863,1.3880852718346437,0.6801523007741628,-0.43777985006846487,1.7565879141921141
ABW,Latin America & Caribbean,3,0.8325160951944276,0.3347735661648012,1.3484606761826237,0.7606112547292079,-0.5766883067326649,2.087248527257775
ITA,Europe & Central Asia,6,0.8370555832454103,0.2705440545822512,1.4248760747541545,0.685328913542404,-0.371812736819078,1.8036406107084897
KEN,Sub-Saharan Africa,6,0.8376808545498934,0.4092932541055816,1.2759128359582588,0.7411962781547057,-0.6596373868223652,2.055624882285796
GRC,Europe & Central Asia,6,0.8378897252484,0.2529928391665441,1.3907973254102226,0.6861630555453947,-0.4797741084632205,1.7141169235222413
MMR,East Asia & Pacific,6,0.8391801389789353,0.3105810967468308,1.3759481468334986,0.7223063829757967,-0.6033205997085775,2.010624146189657
HRV,Europe & Central Asia,3,0.8392457337702689,0.2342751027420613,1.3827367338860315,0.6875190640672615,-0.34491173535456454,1.834569940782418
CYP,Europe & Central Asia,4,0.8401284001883864,0.32862274123452145,1.3947261404442934,0.688401730485382,-0.3673195571471597,1.7876257469900168
KHM,East Asia & Pacific,4,0.8405331174663717,0.3813920671703965,1.3201873055373188,0.7236593614632282,-0.5695527622440733,2.007765531969795
COL,Latin America & Caribbean,6,0.8420202215223865,0.35002899842187807,1.3036437663206544,0.7701153810571689,-0.5451506312127598,2.1314374826506852
TCD,Sub-Saharan Africa,6,0.8426204691707933,0.38866355032117456,1.2915669586366054,0.7461358927756079,-0.566758917349315,2.1842257195249077
ARM,Europe & Central Asia,3,0.8470022300185375,0.3029509851310543,1.4451632958307967,0.6952755603155306,-0.32501628886325595,1.8527830484808896
IDN,East Asia & Pacific,6,0.8488621303641789,0.3663092350908596,1.3410099643781974,0.7319883743610401,-0.5413843501847599,2.0360926533019272
BLZ,Latin America & Caribbean,6,0.8495747684055508,0.4147252755915662,1.300643167184357,0.7776699279403304,-0.4812321235792706,2.193587083120132
MAC,East Asia & Pacific,3,0.8526139132993674,0.3482385609320477,1.3573302328690955,0.735740157296229,-0.550499963890458,2.0564645837070574
MLT,Middle East & North Africa,5,0.8545309543879365,0.3192995815730677,1.463048088174251,0.8085597880911934,-0.5390625236217755,2.212256546131826
BEN,Sub-Saharan Africa,6,0.8563594421725825,0.4066520650326846,1.3247872001331982,0.7598748657773964,-0.6017206419978274,2.1275847451820553
CRI,Latin America & Caribbean,6,0.8646743124547855,0.43879163677505084,1.3431372467095721,0.7927694719895664,-0.49971956886349644,2.1633922080688794
