,mean,sd,hdi_2.5%,hdi_97.5%,ESS_bulk,ESS_tail,R_hat
z_alpha_country[Sao Tome and Principe],-1.243594,0.177025,-1.58124,-0.8933,1092.536855,1793.362683,1.002173
z_alpha_country[Saudi Arabia],1.264316,0.236604,0.812003,1.733928,1315.147999,1989.388202,1.004231
z_alpha_country[Senegal],0.134573,0.151718,-0.164409,0.423991,929.867838,1584.288524,1.005059
z_alpha_country[Seychelles],0.411182,0.191788,0.028947,0.779456,1133.847051,1802.280689,1.002171
z_alpha_country[Sierra Leone],-0.196244,0.151909,-0.494155,0.09378,926.284682,1671.398604,1.004557
z_alpha_country[Singapore],1.400111,0.217938,0.974173,1.831645,1491.982616,2491.699734,1.001126
z_alpha_country[Slovak Republic],-0.06532,0.154296,-0.370619,0.227057,878.890545,1636.962636,1.001877
z_alpha_country[Slovenia],-0.130238,0.156927,-0.43675,0.167877,905.959564,1603.755712,1.001718
z_alpha_country[Solomon Islands],-1.403593,0.198253,-1.809847,-1.02823,1024.551169,1877.654852,1.002575
z_alpha_country[Somalia],-1.179393,0.162873,-1.487507,-0.850685,991.441811,1164.299485,1.003318
z_alpha_country[South Africa],2.043228,0.191797,1.665189,2.409115,1049.122541,1734.19624,1.006562
z_alpha_country[South Sudan],0.253449,0.268704,-0.235083,0.741573,2072.818196,3719.261712,1.000868
z_alpha_country[Spain],1.185683,0.164934,0.855579,1.493024,903.083702,1156.223297,1.003606
z_alpha_country[Sri Lanka],0.316166,0.344983,-0.351859,1.00449,1423.176637,2278.22623,1.001606
z_alpha_country[Sudan],0.490319,0.157035,0.182841,0.790541,966.745731,1704.469675,1.006187
z_alpha_country[Suriname],-0.32401,0.183913,-0.681793,0.042222,1050.610347,1350.881541,1.007297
z_alpha_country[Sweden],1.244768,0.164218,0.920505,1.555785,903.556747,1054.384931,1.004221
z_alpha_country[Switzerland],1.822213,0.179844,1.48921,2.185799,950.096096,1009.154541,1.004248
z_alpha_country[Syrian Arab Republic],-1.333603,0.242201,-1.8007,-0.854792,1186.898332,1723.52554,1.004783
z_alpha_country[Tajikistan],-2.503628,0.211383,-2.927283,-2.103275,1084.343645,1337.917304,1.00216
z_alpha_country[Tanzania],-0.142551,0.15731,-0.443188,0.171781,986.208471,1513.272218,1.003724
z_alpha_country[Thailand],0.536173,0.191193,0.170344,0.91842,1295.955743,2186.036629,1.001372
z_alpha_country[Timor-Leste],-1.888092,0.205764,-2.316286,-1.507331,1034.709348,1237.883579,1.002639
z_alpha_country[Togo],-0.435603,0.151805,-0.730643,-0.143911,927.370265,1405.971929,1.004174
z_alpha_country[Tonga],-1.520363,0.207561,-1.928137,-1.108173,1039.007487,1815.649228,1.002691
z_alpha_country[Trinidad and Tobago],0.236547,0.180858,-0.118358,0.588392,1062.470655,1492.857799,1.005985
z_alpha_country[Tunisia],-0.745616,0.231494,-1.207727,-0.300877,1189.064799,1799.146199,1.004808
z_alpha_country[Turkmenistan],-1.18707,0.174332,-1.535623,-0.860823,1028.629978,1675.813581,1.001454
z_alpha_country[Uganda],-0.376166,0.163681,-0.697549,-0.05846,1055.084968,1549.605348,1.002955
z_alpha_country[Ukraine],-1.061748,0.176829,-1.421731,-0.733339,992.163399,1600.927361,1.001532
z_alpha_country[United Arab Emirates],1.794211,0.248956,1.320295,2.29909,1314.411559,1494.764926,1.003734
z_alpha_country[United Kingdom],1.709203,0.177008,1.367329,2.049213,955.864541,1099.249061,1.003992
z_alpha_country[United States],1.16349,0.681252,-0.226394,2.428921,1113.769497,2341.866191,1.004399
z_alpha_country[Uruguay],0.436422,0.179172,0.093868,0.794283,1059.68111,1690.361906,1.005363
z_alpha_country[Uzbekistan],-1.238462,0.177533,-1.594083,-0.905546,989.425172,1516.461766,1.001521
z_alpha_country[Vanuatu],-1.417533,0.200464,-1.824518,-1.030096,1028.170534,1784.267986,1.002615
"z_alpha_country[Venezuela, RB]",0.370843,0.184394,0.017416,0.746211,1075.682243,1673.792865,1.004667
z_alpha_country[Viet Nam],-0.229135,0.194896,-0.601915,0.151397,1262.10333,1842.495281,1.00148
z_alpha_country[West Bank and Gaza],-1.178611,0.236764,-1.644149,-0.715861,1172.666232,1564.887389,1.004739
z_alpha_country[Zambia],0.134863,0.152825,-0.164267,0.426957,942.360343,1642.017818,1.004813
z_alpha_country[Zimbabwe],0.54986,0.156538,0.249206,0.854015,958.740626,1661.99636,1.006259
sigma_alpha_region,0.563192,0.207245,0.242792,0.976003,674.209574,1120.151268,1.002875
sigma_tau_region,0.039438,0.015103,0.018077,0.068429,2913.471445,4115.703625,1.003824
sigma_alpha_country,0.490548,0.026955,0.43855,0.54317,1245.337849,1182.468695,1.002995
sigma,0.062004,0.000905,0.060259,0.063794,14959.503529,20526.924039,1.00008
nu_minus2,0.055216,0.034237,0.001871,0.121028,13152.971984,12160.450258,1.00002
alpha_region[East Asia & Pacific],10.326382,0.087794,10.159447,10.503674,1110.00656,1714.896318,1.00169
alpha_region[Europe & Central Asia],10.743648,0.074362,10.603913,10.89045,903.295755,1574.581869,1.001822
alpha_region[Latin America & Caribbean],10.435978,0.086701,10.268777,10.609548,1031.730622,1505.020364,1.006073
alpha_region[Middle East & North Africa],10.626166,0.111099,10.405698,10.843232,1273.492344,2490.059504,1.004615
alpha_region[North America],11.272431,0.337556,10.629084,11.94487,1162.69225,2381.905829,1.003708
alpha_region[South Asia],9.98001,0.168549,9.640473,10.305237,1482.017216,2506.295238,1.001907
alpha_region[Sub-Saharan Africa],9.791362,0.073539,9.652466,9.937198,930.209988,1600.466039,1.004989
tau_region[East Asia & Pacific],0.139677,0.005876,0.128084,0.151073,4558.631665,11371.139864,1.00086
tau_region[Europe & Central Asia],0.142606,0.003873,0.134978,0.150131,5999.262509,13416.72513,1.000738
tau_region[Latin America & Caribbean],0.092641,0.005146,0.082534,0.102556,4137.690445,9188.468258,1.000856
tau_region[Middle East & North Africa],0.105754,0.007863,0.090492,0.121359,3866.437396,8834.704091,1.000524
tau_region[North America],0.114527,0.00647,0.101845,0.127104,7510.546174,18451.669975,1.0004
tau_region[South Asia],0.177307,0.007109,0.163229,0.191041,4823.233731,10440.342949,1.000554
tau_region[Sub-Saharan Africa],0.08894,0.005306,0.078717,0.099355,2642.313035,5807.857819,1.000627
alpha_country[Afghanistan],9.471442,0.026133,9.421128,9.523442,7086.347055,17250.553123,1.000451
alpha_country[Albania],10.022324,0.019223,9.983813,10.058752,6482.939806,13724.363913,1.000592
alpha_country[Algeria],10.56858,0.020324,10.528298,10.607468,3320.637524,8319.039098,1.000717
alpha_country[Angola],10.312239,0.017998,10.27727,10.347832,6599.058575,14549.866196,1.000162
alpha_country[Antigua and Barbuda],10.118901,0.056419,10.007475,10.226339,2225.567896,4482.797634,1.001225
alpha_country[Argentina],11.028621,0.02106,10.988154,11.069747,2606.242952,5739.162964,1.000776
alpha_country[Armenia],9.89976,0.024709,9.849067,9.946211,13665.86642,24924.676252,1.000208
alpha_country[Aruba],10.412722,0.055654,10.306876,10.523352,2292.090657,4282.613883,1.001228
alpha_country[Australia],11.502632,0.014619,11.47402,11.53104,3425.504323,8724.75939,1.000367
alpha_country[Austria],11.301803,0.011291,11.280286,11.324362,12756.998468,23945.828565,1.000159
alpha_country[Azerbaijan],10.302649,0.023811,10.256744,10.34837,21276.927774,21762.108416,0.999981
alpha_country[Bahrain],10.83223,0.028679,10.7748,10.886662,2856.15098,5439.527521,1.000664
alpha_country[Bangladesh],10.043975,0.034137,9.979138,10.113186,2315.816439,4662.105316,1.000871
alpha_country[Barbados],10.596065,0.037354,10.523815,10.669001,2375.341383,4265.678946,1.001002
alpha_country[Belarus],10.302787,0.024065,10.254753,10.348344,22199.706513,24724.358276,1.000079
alpha_country[Belgium],11.293174,0.011613,11.271033,11.316416,6955.090242,16272.137845,1.000128
alpha_country[Belize],9.970533,0.041712,9.888467,10.051471,3160.943318,5931.488484,1.000825
alpha_country[Benin],9.676626,0.010842,9.655517,9.697985,20888.259357,26999.108465,1.000183
alpha_country[Bhutan],9.557604,0.032244,9.493872,9.619867,3114.682476,6113.08931,1.000727
alpha_country[Bolivia],10.151515,0.011632,10.128516,10.174125,13130.174131,23359.433651,1.000439
alpha_country[Bosnia and Herzegovina],10.105298,0.017338,10.07108,10.13911,11121.408789,21973.819682,1.000389
alpha_country[Botswana],10.218113,0.021973,10.174139,10.260133,3782.417126,8635.78176,1.000637
alpha_country[Brazil],11.07231,0.03784,10.9968,11.145401,2353.398792,4504.676393,1.000884
alpha_country[Brunei Darussalam],10.921685,0.041931,10.841836,11.005485,3505.848362,8511.136824,1.000642
alpha_country[Bulgaria],10.424469,0.015667,10.394002,10.45534,23583.389245,27874.422773,1.000064
alpha_country[Burkina Faso],9.378344,0.014991,9.348682,9.407179,7193.16516,17716.409699,1.000332
alpha_country[Burundi],9.230896,0.014765,9.202312,9.259655,29212.602665,27607.372048,1.000113
alpha_country[Cabo Verde],9.76229,0.035651,9.692904,9.832325,3042.466417,7026.398671,1.000507
alpha_country[Cambodia],9.767082,0.017112,9.732148,9.799398,14161.895919,20851.602161,1.00024
alpha_country[Cameroon],9.92189,0.013879,9.894689,9.948828,4177.489241,10181.788774,1.000503
alpha_country[Canada],11.496935,0.018672,11.460433,11.533461,3023.839628,7850.093073,1.000421
alpha_country[Central African Republic],9.361445,0.013991,9.333639,9.38821,9582.024489,20478.09316,1.000223
alpha_country[Chad],9.608249,0.012755,9.583798,9.633717,18110.43535,25440.606728,1.000151
alpha_country[Channel Islands],10.795544,0.048198,10.701315,10.888764,2642.066116,5723.066976,1.000897
alpha_country[Chile],10.729986,0.018069,10.694871,10.765333,8331.274075,17765.438329,1.000218
alpha_country[China],10.182841,0.070435,10.046743,10.324339,2787.853521,5439.994583,1.001022
alpha_country[Colombia],10.663172,0.020898,10.621737,10.703901,2614.523736,5975.145122,1.000799
alpha_country[Comoros],9.494157,0.030244,9.434279,9.552401,2584.555147,5455.104046,1.00072
"alpha_country[Congo, Dem. Rep.]",10.017293,0.028356,9.962409,10.073062,3657.792229,9265.136101,1.000468
alpha_country[Costa Rica],10.58309,0.017182,10.54942,10.616613,5846.61818,13823.413073,1.000678
alpha_country[Cote d'Ivoire],10.136601,0.017119,10.102911,10.169785,7002.278611,15181.502227,1.000225
alpha_country[Croatia],10.622899,0.015524,10.592808,10.653281,13142.754065,24671.566769,1.000256
alpha_country[Cuba],10.568787,0.014869,10.539582,10.597464,11369.276884,22057.404339,1.00024
alpha_country[Curacao],10.381553,0.049557,10.283818,10.476967,2425.194303,4989.239132,1.001047
alpha_country[Cyprus],10.604174,0.025979,10.553671,10.655741,3354.576557,6790.929927,1.000567
alpha_country[Czechia],10.870521,0.014283,10.843337,10.899062,12705.831583,22323.630701,1.000131
alpha_country[Denmark],11.361427,0.011659,11.338406,11.384453,14833.291854,22480.288724,1.000324
alpha_country[Djibouti],9.721471,0.038795,9.646687,9.797545,4752.996717,11748.450342,1.000292
alpha_country[Dominican Republic],10.384971,0.013258,10.358962,10.411032,14794.559004,23325.54292,1.000356
alpha_country[Ecuador],10.510449,0.012413,10.486844,10.535463,6168.996932,15393.036435,1.000444
alpha_country[El Salvador],10.288795,0.014196,10.26017,10.316008,15802.73534,24758.02944,1.00041
alpha_country[Equatorial Guinea],10.40055,0.041846,10.316192,10.479458,6314.501053,11748.585953,1.000317
