,mean,sd,hdi_2.5%,hdi_97.5%,ESS_bulk,ESS_tail,R_hat
alpha0,10.106018,0.215334,9.645024,10.517325,709.637292,817.900181,1.00408
beta0,0.772271,0.058437,0.652956,0.883171,1810.089693,2499.923875,1.004284
theta[0],-0.389617,0.170284,-0.736335,-0.062069,1779.862465,3605.272247,1.001586
theta[1],0.652386,0.156941,0.340607,0.961724,1715.809234,2547.858998,1.001637
theta[2],-0.367611,0.124132,-0.622227,-0.12722,1527.665633,2534.753338,1.002628
theta[3],0.219133,0.100007,0.020822,0.416167,1500.715268,2073.967076,1.003123
theta[4],-0.105952,0.089326,-0.290466,0.068494,1517.901285,1982.673445,1.003019
theta[5],-0.006581,0.086943,-0.17254,0.170716,1599.919575,2064.407392,1.003278
theta[6],-0.010832,0.087226,-0.177964,0.166681,1641.000486,2003.397127,1.002747
theta[7],-0.00011,0.090503,-0.175393,0.179663,1745.221228,2115.754314,1.002627
theta[8],0.000474,0.095983,-0.175546,0.197969,1862.525639,2343.927719,1.00201
theta[9],0.107402,0.132281,-0.146708,0.366256,2060.35587,2984.495182,1.001076
theta[10],-0.141796,0.156015,-0.449592,0.160133,2401.859562,3104.61638,1.001547
theta[11],0.024228,0.178589,-0.331921,0.366199,2288.740937,3191.92767,1.001967
delta_washare,0.079351,0.005208,0.069452,0.089915,5934.381433,8757.398433,1.000391
delta_olddep,0.024228,0.006553,0.011395,0.036779,4968.05417,6480.320244,1.000437
z_alpha_region[East Asia & Pacific],-0.138283,0.421521,-0.91143,0.704863,837.069493,1291.186952,1.002913
z_alpha_region[Europe & Central Asia],0.513704,0.462575,-0.387845,1.388757,812.090663,1251.653021,1.001822
z_alpha_region[Latin America & Caribbean],0.072076,0.432068,-0.762113,0.942694,725.416846,1206.394579,1.003841
z_alpha_region[Middle East & North Africa],0.508968,0.474616,-0.392362,1.466343,902.468631,1290.089156,1.003974
z_alpha_region[North America],1.408768,0.65596,0.143309,2.736153,1679.842326,2540.858432,1.003238
z_alpha_region[South Asia],-1.026421,0.535406,-2.033821,0.005594,1048.996468,1631.674073,1.003031
z_alpha_region[Sub-Saharan Africa],-1.287379,0.557741,-2.391971,-0.213487,847.026985,956.493244,1.004264
tau0,0.335863,0.037106,0.261597,0.400482,2060.268982,2330.746531,1.006421
z_tau_region[East Asia & Pacific],0.795689,0.384046,0.056577,1.564648,2559.185696,3610.587524,1.003769
z_tau_region[Europe & Central Asia],1.861125,0.55435,0.845302,2.997827,2412.433417,3581.400646,1.001756
z_tau_region[Latin America & Caribbean],0.235573,0.381637,-0.505793,0.972477,2371.1232,3579.216832,1.005304
z_tau_region[Middle East & North Africa],-0.445955,0.477643,-1.37769,0.467924,2161.982421,2804.575235,1.005452
z_tau_region[North America],0.284037,0.400771,-0.519301,1.032898,2697.134763,4851.668414,1.004621
z_tau_region[South Asia],0.133605,0.399745,-0.64078,0.888206,2440.746498,3910.725075,1.00481
z_tau_region[Sub-Saharan Africa],-0.962082,0.583923,-2.112687,0.129817,2013.875293,2249.721683,1.005644
z_alpha_country[Afghanistan],-1.088144,0.352417,-1.762879,-0.380966,1702.190588,2555.09318,1.001853
z_alpha_country[Albania],-1.387425,0.183369,-1.742834,-1.026882,1612.676263,1863.81723,1.003508
z_alpha_country[Algeria],-0.485444,0.240204,-0.974208,-0.044213,1921.864083,2806.914023,1.003004
z_alpha_country[Angola],0.477821,0.216073,0.074154,0.929865,2164.981886,4033.650444,1.002482
z_alpha_country[Antigua and Barbuda],0.170987,0.224269,-0.271315,0.602449,1500.311175,2677.749581,1.001844
z_alpha_country[Argentina],0.780725,0.204104,0.384963,1.175714,1183.632804,1639.874163,1.002675
z_alpha_country[Armenia],-1.853313,0.19889,-2.241885,-1.463524,1601.380887,1856.027937,1.002612
z_alpha_country[Aruba],0.69423,0.224862,0.247273,1.130196,1490.845383,2156.607192,1.001661
z_alpha_country[Australia],2.079456,0.220987,1.640519,2.50005,1565.711956,1628.831585,1.00153
z_alpha_country[Austria],1.212321,0.17104,0.873048,1.551092,1541.487788,1581.187887,1.00393
z_alpha_country[Azerbaijan],-1.534475,0.21271,-1.937446,-1.103095,2034.820183,2716.252958,1.002018
z_alpha_country[Bahrain],0.78496,0.241589,0.321806,1.262443,1799.997749,2641.251024,1.004837
z_alpha_country[Bangladesh],-0.189737,0.348235,-0.870839,0.481887,1588.980504,2568.258931,1.002368
z_alpha_country[Barbados],0.543978,0.200897,0.140852,0.922768,1313.404767,1960.300586,1.0021
z_alpha_country[Belarus],-1.011651,0.176307,-1.352951,-0.654727,1623.006814,2096.566302,1.002856
z_alpha_country[Belgium],1.284586,0.172412,0.934156,1.620517,1503.463134,1513.632779,1.003459
z_alpha_country[Belize],-0.320915,0.201454,-0.721039,0.060285,1258.029355,1967.050114,1.001542
z_alpha_country[Benin],-0.370015,0.157489,-0.686933,-0.076122,1276.416365,2236.491534,1.004438
z_alpha_country[Bhutan],-0.068771,0.357187,-0.770653,0.643865,1765.587063,2511.400347,1.001117
z_alpha_country[Bolivia],-0.902619,0.193153,-1.290633,-0.535195,1080.502848,1174.332126,1.001674
z_alpha_country[Bosnia and Herzegovina],-1.338168,0.182846,-1.693153,-0.978341,1631.002722,2068.136064,1.003747
z_alpha_country[Botswana],1.142639,0.176659,0.800774,1.488053,1400.641318,1774.901725,1.003013
z_alpha_country[Brazil],0.629218,0.224143,0.182877,1.05424,1295.545046,1898.186076,1.002494
z_alpha_country[Brunei Darussalam],1.559903,0.215823,1.133772,1.979809,1741.118736,1671.358738,1.002425
z_alpha_country[Bulgaria],-0.801628,0.173269,-1.136885,-0.454973,1683.928998,2178.486348,1.003989
z_alpha_country[Burkina Faso],-0.629996,0.160486,-0.949369,-0.322938,1249.426929,2020.408845,1.004778
z_alpha_country[Burundi],-1.154256,0.167562,-1.481387,-0.824706,1313.71369,1931.673772,1.003558
z_alpha_country[Cabo Verde],0.634298,0.177843,0.284515,0.980583,1481.629767,2096.534322,1.00226
z_alpha_country[Cambodia],-1.602563,0.204028,-1.997037,-1.205608,1549.931258,1883.915691,1.001703
z_alpha_country[Cameroon],0.303494,0.162536,-0.019951,0.609157,1248.6241,1946.391283,1.004931
z_alpha_country[Canada],0.581599,0.671011,-0.781499,1.823205,1599.15473,2263.608554,1.003674
z_alpha_country[Central African Republic],-0.883367,0.163096,-1.199153,-0.564137,1298.67938,1831.032078,1.00371
z_alpha_country[Chad],-0.623538,0.159501,-0.943073,-0.323173,1254.562146,2011.523255,1.004645
z_alpha_country[Channel Islands],1.041117,0.208951,0.627476,1.442407,2123.891488,2564.829245,1.002957
z_alpha_country[Chile],0.590124,0.190723,0.222552,0.958256,1108.253057,1465.142133,1.002662
z_alpha_country[China],-0.415501,0.281801,-0.979863,0.113013,2040.399118,3718.148507,1.002666
z_alpha_country[Colombia],0.13047,0.194849,-0.246469,0.503757,1104.373076,1615.613991,1.002462
z_alpha_country[Comoros],0.08891,0.171356,-0.244448,0.421602,1495.624208,2562.671485,1.002425
"z_alpha_country[Congo, Dem. Rep.]",-1.029151,0.18404,-1.39181,-0.666543,1457.419003,2443.47641,1.004384
z_alpha_country[Costa Rica],0.061886,0.18467,-0.29136,0.422993,1074.401534,1572.020922,1.002299
z_alpha_country[Cote d'Ivoire],0.480825,0.162789,0.16277,0.790622,1235.39494,1889.182937,1.005097
z_alpha_country[Croatia],-0.226505,0.163564,-0.537509,0.104922,1683.600484,2147.438999,1.004588
z_alpha_country[Cuba],0.188483,0.189936,-0.180586,0.550964,1127.024478,1659.491978,1.002327
