ISO3,Country,Region,GDP_2024,GDPpc_2024,Pop_2024,GDP_2050,GDPpc_2050,Pop_2050,GDP_2075,GDPpc_2075,Pop_2075,GDP_2100,GDPpc_2100,Pop_2100,g_agg,g_pc,g_pop,identity_residual,GDP_2100_lo,GDP_2100_hi,beta_expansion,beta_contraction,alpha_decadal,rank_agg_2024,rank_pc_2024,rank_agg_2050,rank_pc_2050,rank_agg_2075,rank_pc_2075,rank_agg_2100,rank_pc_2100
USA,United States,North America,22407441124938.156,64868.89835969844,345426571.0,37361998393071.63,98102.4065367148,380846910.0,58143457437474.0,144308.73871373158,402910163.0,88669500498097.4,210476.96149354734,421278889.0,0.018098985307013617,0.015486946259768024,0.0026120390472455907,2.168404344971009e-18,25065371212986.793,323712082626964.0,1.0,1.0,0.20308346950776485,1,6,1,7,1,10,1,11
CHN,China,East Asia & Pacific,18117493111934.734,12764.899246395104,1419321278.0,28518780256483.87,22628.760666806684,1260289093.0,38786402813442.22,41506.45975260607,934466660.0,48212550144875.37,76120.89897691987,633368113.0,0.012878176602650861,0.023495048613814767,-0.010616872011163906,0.0,12201842256196.39,149275191296460.7,1.0,1.0,0.2907919427979017,2,61,2,55,2,50,2,48
IND,India,South Asia,3357071373677.706,2313.728418928847,1450935791.0,7809624170915.753,4649.722620615873,1679589259.0,14022729726018.406,8392.520702585512,1670860308.0,23379498204120.125,15531.952069325715,1505251761.0,0.025536717293158918,0.02505314563664839,0.00048357165651052484,3.74049749507499e-18,5581000799997.032,94777188219898.31,1.0,1.0,0.2788064973401978,6,127,3,125,3,122,3,114
GBR,United Kingdom,Europe & Central Asia,3358320134230.5713,48574.02308452861,69138192.0,5947583939674.279,78771.06241498166,75504681.0,9771274380056.691,128492.42094261518,76045531.0,15389941660829.957,207117.37481446617,74305411.0,0.020029911423964642,0.019081536540531997,0.0009483748834326445,3.2526065174565133e-19,4436751739096.41,51444515674952.234,1.0,1.0,0.22596089457647617,5,14,5,14,5,14,4,14
JPN,Japan,East Asia & Pacific,4722979230328.149,38164.550884274024,123753041.0,6761216663439.896,64317.09447490196,105123167.0,10002496766559.783,114506.82175323495,87352846.0,15183169263609.764,197579.20304220126,76845989.0,0.015365101785854783,0.021634637296968906,-0.006269535511114123,0.0,4395463763124.1772,47983647569911.95,1.0,1.0,0.26229392464775425,3,25,4,24,4,22,5,18
DEU,Germany,Europe & Central Asia,3780554737669.55,44712.64922424588,84552242.0,5467047313014.02,69826.60879892235,78294613.0,8621161562250.799,118360.0115989649,72838465.0,13150486550832.41,185479.71737029182,70899863.0,0.016402473725545597,0.018719593338831837,-0.002317119613286237,-3.469446951953614e-18,3718257677282.572,42136486272117.234,1.0,1.0,0.2277316061080636,4,21,6,22,6,21,6,24
FRA,France,Europe & Central Asia,2750708953977.2734,41333.8800117339,66548530.0,4592550054186.602,67320.02247425837,68219675.0,7540150412411.447,111175.1554907827,67822261.0,12706969597012.43,185545.0333345574,68484558.0,0.020135420397402536,0.019758093644035177,0.00037732675336735666,2.168404344971009e-18,3451775383760.6973,39042650707461.87,1.0,1.0,0.2289574190002998,7,23,7,23,7,23,7,23
AUS,Australia,East Asia & Pacific,1691728150227.4258,63329.28415843123,26713205.0,3383961432384.134,104099.56807674484,32506969.0,6327604828250.502,168021.09816798306,37659585.0,11298154231588.988,261872.72208178297,43143685.0,0.024985378808920006,0.01867777296100336,0.006307605847916645,2.6020852139652106e-18,3573380516146.619,36013870425628.85,1.0,1.0,0.25156210193022643,12,7,8,5,8,5,8,4
CAN,Canada,North America,1842174660226.0637,46352.84405674398,39742430.0,3211285151878.5864,70389.14247068077,45621882.0,5441691144750.297,109575.58605878399,49661529.0,9129951463890.555,170296.045934041,53612234.0,0.02106070558121669,0.017121785770842016,0.003938919810374673,0.0,1919276703456.7668,29947384614735.6,1.0,1.0,0.19938589879725965,11,16,9,21,9,24,9,25
IDN,Indonesia,East Asia & Pacific,1209995527936.7083,4268.243532161898,283487931.0,2565901060590.542,8000.615717547912,320712949.0,4664368033068.875,14682.320209001808,317686031.0,7581894163819.771,25656.887895034735,295511061.0,0.02414666308475388,0.02360012733758746,0.0005465357471664174,2.3852447794681098e-18,1863998978144.8115,28428044511353.49,1.0,1.0,0.2608247863715061,16,106,13,103,10,87,10,82
SAU,Saudi Arabia,Middle East & North Africa,882049258123.073,25971.073494506734,33962757.0,1965234786295.4463,41205.15148150878,47693910.0,3749057284901.589,62760.152423676496,59736268.0,6793365321622.389,95672.18696748698,71006690.0,0.026861234529140576,0.01715716142307491,0.009704073106065669,-1.734723475976807e-18,1448559806897.1084,22494217886931.957,1.0,1.0,0.2075287120628472,18,34,16,32,13,32,11,37
RUS,Russian Federation,Europe & Central Asia,1580293378849.8423,10912.089235161551,144820423.0,2431116278439.579,17858.420049393535,136132775.0,4052286889655.5195,31522.04544280877,128554059.0,6560896101334.244,51911.36175670517,126386515.0,0.018730482655549895,0.02052192636513912,-0.001791443709589219,-5.421010862427522e-18,1639242189303.1304,21767157794679.31,1.0,1.0,0.2224143042481382,13,67,14,66,11,60,12,57
PAK,Pakistan,South Asia,409515052040.8539,1629.7863435437462,251269164.0,1320581565512.2734,3551.2507277423306,371863793.0,3224827570662.1836,6909.877765509191,466698208.0,6348038578735.795,12422.761059627124,511000618.0,0.036064835515727485,0.026724755666978406,0.009340079848749076,3.469446951953614e-18,1398570297244.2676,25281773468821.926,1.0,1.0,0.2751378034548318,34,138,19,133,15,127,13,124
ITA,Italy,Europe & Central Asia,2065819238301.8225,34811.58465602652,59342867.0,2697547807139.051,51984.78851139866,51891099.0,3875354621607.8345,93064.23703921321,41641717.0,5355051400604.851,151371.75272489438,35376821.0,0.012533071436375798,0.019339322710340764,-0.00680625127396496,-6.071532165918825e-18,1437652967032.8984,17083728468293.143,1.0,1.0,0.22571379021565552,8,28,11,28,12,27,14,27
ESP,Spain,Europe & Central Asia,1412924704033.5063,29490.903607142747,47910526.0,1958769924671.7998,43597.43583739767,44928558.0,2919196812638.118,77546.1847548401,37644622.0,4287296112394.4478,129418.12571408084,33127478.000000004,0.014605190041239996,0.01946008662937102,-0.004854896588131024,1.734723475976807e-18,1046051914024.1238,14684669550326.648,1.0,1.0,0.23208998360197328,14,31,17,30,17,29,15,29
KOR,"Korea, Rep.",East Asia & Pacific,1932745548315.1238,37371.14487189221,51717590.0,2663327046194.6895,58997.38919753975,45143134.0,3370956538694.784,105425.30554248038,31974833.0,4182014327424.0454,191407.12762660623,21848791.0,0.010155940408546693,0.021493471560572006,-0.011337531152025314,1.734723475976807e-18,1320808323431.2422,11681234965869.002,1.0,1.0,0.2834336694757407,10,26,12,26,14,25,16,21
ISR,Israel,Middle East & North Africa,422894187122.11914,45050.94716653123,9387021.0,1009314889154.4546,77089.76705947431,13092722.0,2087980487105.1868,125266.4403753581,16668314.999999998,3715109343328.12,188134.99862906642,19747040.0,0.02859264987553246,0.0188074443991055,0.009785205476426955,3.469446951953614e-18,1061985671492.5773,11905021061300.9,1.0,1.0,0.22005074566032554,32,20,23,16,21,17,17,22
NLD,Netherlands,Europe & Central Asia,932026913987.8931,51129.52468074281,18228742.0,1542678936323.5654,81371.46771159417,18958475.0,2413089033360.675,131206.49097248778,18391537.0,3677153367734.9873,210032.8194856054,17507518.0,0.018059638138303354,0.018590811697521237,-0.0005311735592178839,7.589415207398531e-19,1052478864465.9597,11558569466509.846,1.0,1.0,0.22770696265015725,17,13,18,13,20,12,18,12
NGA,Nigeria,Sub-Saharan Africa,526843403945.6085,2264.245254777512,232679478.0,1296291820616.4243,3608.975358175105,359185556.0,2501129141199.244,5595.747854819386,446969593.0,3652547465032.2793,7661.383252525887,476747781.0,0.025477326060350053,0.01603882981794144,0.00943849624240861,1.734723475976807e-18,758186497684.9967,16901711068627.035,1.0,1.0,0.13488156826199799,24,129,20,131,19,134,19,135
BRA,Brazil,Latin America & Caribbean,1991068635861.1792,9391.896406119578,211998573.0,2750218128250.255,12645.303198343818,217489299.0,3107417216190.7725,15943.983720288294,194895910.0,3650334675234.041,22344.783704903675,163364064.0,0.007975623127482486,0.011404548283263543,-0.0034289251557810554,-2.168404344971009e-18,817416452350.5593,14460762701887.922,1.0,1.0,0.15307767038669567,9,71,10,74,16,85,20,92
ARE,United Arab Emirates,Middle East & North Africa,448748613358.5682,40694.96360825816,11027129.0,923973572028.0767,60125.59398680509,15367392.0,1798540843120.1362,87843.87731188192,20474288.0,3499729664058.5625,133913.27864040135,26134299.0,0.02702602836664564,0.01567221152098807,0.01135381684565757,1.734723475976807e-18,817283215323.0748,10822277414020.814,1.0,1.0,0.20838901975429489,28,24,26,25,22,28,21,28
MEX,Mexico,Latin America & Caribbean,1351001972185.5928,10323.946018431547,130861007.0,2162340784095.891,14517.588966984775,148946274.0,2809443681148.3906,19214.896627210153,146211751.0,3350718529147.0205,25725.51611245893,130248836.0,0.011951688031272839,0.01201338540924044,-6.169737796760202e-05,9.0801931945661e-19,829688134765.341,14446761117706.998,1.0,1.0,0.1488050560450499,15,68,15,70,18,75,22,81
MYS,Malaysia,East Asia & Pacific,412767397953.5922,11608.391751439758,35557673.0,967295584705.1786,21840.15724229013,44289772.0,1754934147414.2615,37861.69055090269,46351183.0,2824708654945.839,64159.83344946527,44026122.0,0.02530626676377252,0.02249538295103864,0.002810883812733879,-2.168404344971009e-18,756554419687.248,8563231410854.268,1.0,1.0,0.2632626110949559,33,64,25,56,25,53,23,51
PHL,Philippines,East Asia & Pacific,441218237452.0684,3808.7384269858544,115843670.0,995716155609.8591,7410.066773760692,134373439.0,1757529799894.404,13401.214588439163,131147053.0,2592878844373.4355,22700.363416036373,114221909.0,0.02330242681300422,0.023487933172322065,-0.00018550635931784172,-3.06287113727155e-18,617894896269.1786,9308154654722.709,1.0,1.0,0.25121050021342073,30,113,24,105,24,96,24,91
