Region,beta_expansion_mean,beta_expansion_lo,beta_expansion_hi,P_expansion_lt_1,beta_contraction_mean,beta_contraction_lo,beta_contraction_hi,P_contraction_lt_1
Middle East & North Africa,0.732072247107122,0.4299997128884434,0.9749246732315592,0.9858333333333333,0.7370457735597894,-0.2308238773390935,1.7485704980881538,0.7163333333333334
North America,0.7928709663012551,0.38643294132161476,1.1584115754879827,0.8955,0.7390883502192761,-0.2573779905407329,1.743025055631172,0.7131666666666666
East Asia & Pacific,0.8019152058190833,0.5314452016263048,1.068045258129623,0.9318333333333333,0.7297016337869078,-0.20211181058724986,1.6723598839793414,0.728
South Asia,0.8115270926605876,0.4823296846740096,1.133001862875285,0.8973333333333333,0.7550030404414205,-0.2471229506312196,1.7543966379347877,0.7015
Europe & Central Asia,0.8188522278058586,0.5395899656684481,1.1216624316343087,0.9021666666666667,0.7032193399988155,-0.08592084443787427,1.4725911357532173,0.7746666666666666
Sub-Saharan Africa,0.8279148313479764,0.5832731802806134,1.100789286159398,0.9041666666666667,0.767169984786623,-0.2395310701130822,1.7693018275372907,0.6903333333333334
Latin America & Caribbean,0.8303931532580897,0.5819348372459308,1.1047371431167428,0.9006666666666666,0.7941689428390372,-0.13033529719889636,1.7831534264328164,0.6861666666666667
