ISO3,Region,n_obs,beta_growth,growth_hdi_lo,growth_hdi_hi,beta_decline,decline_hdi_lo,decline_hdi_hi
KWT,Middle East & North Africa,5,0.3574350439810688,-0.12758257952476398,0.8493689934501422,0.36240857043373503,-0.7112521908668858,1.4139743009301626
BRN,East Asia & Pacific,4,0.4142712368033646,-0.18141708178564367,0.9568801604189642,0.34205766477119026,-0.7264128435932568,1.419862128582854
LBY,Middle East & North Africa,6,0.5940736715179078,0.12601673897018079,1.0139907156987298,0.5990471979705765,-0.42306152337042824,1.671436313169461
JOR,Middle East & North Africa,4,0.5966702267768211,0.16962081023631298,0.9840866694958161,0.6016437532294907,-0.45134359131675333,1.6302206601465568
COD,Sub-Saharan Africa,6,0.6006939629538626,0.06703268223673688,1.0570216727056592,0.5399491163925116,-0.5274373249870641,1.6391383583383679
PYF,East Asia & Pacific,5,0.6020010212860655,0.14223767537968737,1.1111637831475172,0.529787449253892,-0.5017427006266102,1.535700943582379
MDG,Sub-Saharan Africa,6,0.620722521578658,0.14704696055934136,1.1064938878801664,0.5599776750173048,-0.5400204416632713,1.626357078558509
SLB,East Asia & Pacific,4,0.6308789494185026,0.17189873566080133,1.1165960423826338,0.5586653773863259,-0.4477205976919279,1.5746566999129703
KIR,East Asia & Pacific,5,0.6440480884873475,0.10448157474437968,1.1537554199795375,0.5718345164551751,-0.43992527615713184,1.6524420001337374
ARE,Middle East & North Africa,5,0.6538135353518245,0.29681746640414264,1.0265514869888241,0.658787061804492,-0.4123778839934391,1.6362438093803626
LBR,Sub-Saharan Africa,6,0.6548777417146238,0.13036540540812938,1.111013532161883,0.5941328951532712,-0.4969170677615051,1.6673710066412055
DZA,Middle East & North Africa,6,0.6591060154849719,0.17196764263000583,1.1142895205706722,0.6640795419376383,-0.3835006111007742,1.7235552230208067
IRN,Middle East & North Africa,6,0.6651768112194786,0.17592910568404727,1.1154649679017545,0.6701503376721446,-0.41298532019046813,1.6833057867745975
VUT,East Asia & Pacific,4,0.665910450800925,0.1707126662151255,1.158851761696909,0.5936968787687524,-0.40305971381967165,1.6530364061899228
BHR,Middle East & North Africa,5,0.676623166748867,0.26450756528939817,1.049965523952484,0.6815966932015366,-0.31055329050691427,1.7399520480710318
HTI,Latin America & Caribbean,6,0.6789399573277337,0.1286888285177217,1.1820722735382845,0.6427157469086812,-0.38102002431719617,1.724271886011152
PSE,Middle East & North Africa,2,0.6829767287428858,0.17660093299312807,1.1996231829897952,0.687950255195552,-0.359669550943482,1.779712231620151
