ISO3,Country,Region,g_pop,P_concordant_expansion,P_benign_divergence,P_reverse_divergence,P_concordant_contraction,P_pc_gain,P_agg_loss
HKG,"Hong Kong SAR, China",East Asia & Pacific,-0.016723485727895657,0.747,0.22,0.0,0.033,0.967,0.253
PRI,Puerto Rico,Latin America & Caribbean,-0.015534709786481343,0.438,0.408,0.0,0.154,0.846,0.562
JAM,Jamaica,Latin America & Caribbean,-0.01287992599919606,0.582,0.287,0.0,0.131,0.869,0.418
UKR,Ukraine,Europe & Central Asia,-0.012010216119313008,0.874,0.121,0.0,0.005,0.995,0.126
KOR,"Korea, Rep.",East Asia & Pacific,-0.011337531152025314,0.837,0.132,0.0,0.031,0.969,0.163
LTU,Lithuania,Europe & Central Asia,-0.011328758806588863,0.915,0.074,0.0,0.011,0.989,0.085
ALB,Albania,Europe & Central Asia,-0.011275444333749354,0.883,0.095,0.0,0.022,0.978,0.117
BIH,Bosnia and Herzegovina,Europe & Central Asia,-0.01104858977459326,0.933,0.062,0.0,0.005,0.995,0.067
CHN,China,East Asia & Pacific,-0.010616872011163906,0.893,0.088,0.0,0.019,0.981,0.107
MUS,Mauritius,Sub-Saharan Africa,-0.010285656215698573,0.634,0.241,0.0,0.125,0.875,0.366
MAC,"Macao SAR, China",East Asia & Pacific,-0.010223542568706877,0.864,0.104,0.0,0.032,0.968,0.136
MKD,North Macedonia,Europe & Central Asia,-0.009839901273051512,0.906,0.082,0.0,0.012,0.988,0.094
BLR,Belarus,Europe & Central Asia,-0.00964615004678089,0.91,0.079,0.0,0.011,0.989,0.09
MDA,Moldova,Europe & Central Asia,-0.009380962572578273,0.897,0.089,0.0,0.014,0.986,0.103
LVA,Latvia,Europe & Central Asia,-0.009269723766114691,0.93,0.058,0.0,0.012,0.988,0.07
POL,Poland,Europe & Central Asia,-0.009079289038166983,0.926,0.064,0.0,0.01,0.99,0.074
CUB,Cuba,Latin America & Caribbean,-0.008912554101729028,0.679,0.212,0.0,0.109,0.891,0.321
MNE,Montenegro,Europe & Central Asia,-0.008844018325903168,0.906,0.075,0.0,0.019,0.981,0.094
BGR,Bulgaria,Europe & Central Asia,-0.008540049704740624,0.947,0.048,0.0,0.005,0.995,0.053
HRV,Croatia,Europe & Central Asia,-0.007804624964414061,0.931,0.054,0.0,0.015,0.985,0.069
ROU,Romania,Europe & Central Asia,-0.007482063368488548,0.946,0.043,0.0,0.011,0.989,0.054
ARM,Armenia,Europe & Central Asia,-0.007418760149737347,0.927,0.062,0.0,0.011,0.989,0.073
TTO,Trinidad and Tobago,Latin America & Caribbean,-0.006813548192907926,0.747,0.171,0.0,0.082,0.918,0.253
ITA,Italy,Europe & Central Asia,-0.00680625127396496,0.943,0.045,0.0,0.012,0.988,0.057
EST,Estonia,Europe & Central Asia,-0.006574321989945865,0.964,0.028,0.0,0.008,0.992,0.036
JPN,Japan,East Asia & Pacific,-0.006269535511114123,0.974,0.022,0.0,0.004,0.996,0.026
SVK,Slovak Republic,Europe & Central Asia,-0.006239844192620449,0.95,0.04,0.0,0.01,0.99,0.05
GRC,Greece,Europe & Central Asia,-0.006193288999982038,0.95,0.041,0.0,0.009,0.991,0.05
GRD,Grenada,Latin America & Caribbean,-0.00607111451629852,0.76,0.138,0.0,0.102,0.898,0.24
THA,Thailand,East Asia & Pacific,-0.005962140571206362,0.94,0.044,0.0,0.016,0.984,0.06
CUW,Curacao,Latin America & Caribbean,-0.005680130328803184,0.779,0.112,0.0,0.109,0.891,0.221
PYF,French Polynesia,East Asia & Pacific,-0.0054058777820003255,0.949,0.038,0.0,0.013,0.987,0.051
URY,Uruguay,Latin America & Caribbean,-0.005404241861586746,0.809,0.109,0.0,0.082,0.918,0.191
MLT,Malta,Middle East & North Africa,-0.005327973317134469,0.937,0.045,0.0,0.018,0.982,0.063
CHL,Chile,Latin America & Caribbean,-0.005083739915792673,0.791,0.114,0.0,0.095,0.905,0.209
BRB,Barbados,Latin America & Caribbean,-0.0048962117038442885,0.807,0.093,0.0,0.1,0.9,0.193
ESP,Spain,Europe & Central Asia,-0.004854896588131024,0.964,0.021,0.0,0.015,0.985,0.036
ABW,Aruba,Latin America & Caribbean,-0.0047763584165992886,0.81,0.102,0.0,0.088,0.912,0.19
SGP,Singapore,East Asia & Pacific,-0.0044366776287386315,0.899,0.054,0.0,0.047,0.953,0.101
ATG,Antigua and Barbuda,Latin America & Caribbean,-0.004233240966693909,0.85,0.081,0.0,0.069,0.931,0.15
CRI,Costa Rica,Latin America & Caribbean,-0.004030228225040147,0.818,0.071,0.0,0.111,0.889,0.182
CZE,Czechia,Europe & Central Asia,-0.0035004899770982568,0.977,0.012,0.0,0.011,0.989,0.023
SVN,Slovenia,Europe & Central Asia,-0.003433895074012327,0.974,0.014,0.0,0.012,0.988,0.026
BRA,Brazil,Latin America & Caribbean,-0.0034289251557810554,0.802,0.074,0.0,0.124,0.876,0.198
HUN,Hungary,Europe & Central Asia,-0.0034211518103341013,0.977,0.014,0.0,0.009,0.991,0.023
GEO,Georgia,Europe & Central Asia,-0.0032717964605490477,0.978,0.014,0.0,0.008,0.992,0.022
CPV,Cabo Verde,Sub-Saharan Africa,-0.0030292318799192337,0.823,0.063,0.0,0.114,0.886,0.177
SLV,El Salvador,Latin America & Caribbean,-0.00292917107889958,0.848,0.052,0.0,0.1,0.9,0.152
