,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
adaptive_HalfNormal,0,7093.207012,531.494764,0.0,0.591458,119.124792,0.0,True,log
fixed_0.05,1,7087.558301,333.393178,5.648711,0.408542,116.721209,34.594857,True,log
