,mean,sd,hdi_2.5%,hdi_97.5%,ESS_bulk,ESS_tail,R_hat
z_beta_country[THA],0.561218,0.894501,-1.097986,2.399261,7013.488045,4432.085334,1.000616
z_beta_country[TJK],0.014842,0.919093,-1.787355,1.772739,9188.065779,4426.53698,1.000852
z_beta_country[TKM],-0.082732,0.934844,-1.902386,1.760766,8684.759509,4254.766156,1.000304
z_beta_country[TLS],0.024202,0.949173,-1.921443,1.790777,8361.139381,4178.835511,1.00122
z_beta_country[TON],-0.082982,1.007993,-2.032895,1.929295,9720.429554,4338.695872,1.000004
z_beta_country[TTO],0.191911,0.946559,-1.732048,1.973724,8599.545046,4116.540071,1.001652
z_beta_country[TUN],0.281543,0.87771,-1.510299,1.970646,8602.133503,4360.934698,1.000389
z_beta_country[TZA],-0.210788,0.826923,-1.774056,1.465307,8525.277458,4713.095372,1.000004
z_beta_country[UGA],0.626988,0.930522,-1.183587,2.462419,8487.306083,4119.022113,1.000211
z_beta_country[UKR],0.077113,0.982987,-1.922015,1.932104,9395.001004,4461.159527,1.000465
z_beta_country[URY],-0.024576,0.992881,-2.005538,1.878289,9992.636728,4438.56486,0.999796
z_beta_country[USA],-0.023555,0.966751,-1.915548,1.887864,9196.009445,4164.396646,1.001134
z_beta_country[UZB],0.020344,0.925631,-1.732369,1.871653,9012.373654,3409.741354,0.999846
z_beta_country[VEN],-0.575267,0.859393,-2.264513,1.040881,6874.845505,4330.989558,1.000327
z_beta_country[VNM],0.489562,0.967891,-1.407472,2.322094,7028.967344,4186.008421,1.001157
z_beta_country[VUT],-0.54577,0.903128,-2.380563,1.149342,7199.640747,4293.797672,0.999947
z_beta_country[WSM],-0.35152,0.971423,-2.231468,1.597076,8699.044843,3491.396428,1.001544
z_beta_country[ZAF],-0.268834,0.887272,-2.06901,1.400577,8951.621939,4473.21342,0.99978
z_beta_country[ZMB],-0.292001,0.83925,-1.843244,1.451791,8588.51167,4787.813221,0.999805
z_beta_country[ZWE],-0.114147,0.843163,-1.709146,1.617267,7756.627005,3914.10798,1.001504
delta_global,-0.054476,0.392173,-0.784714,0.733787,7148.228825,4927.651964,1.002097
z_delta_region[East Asia & Pacific],-0.071902,0.994921,-1.979369,1.942206,9003.637765,4060.098235,0.999832
z_delta_region[Europe & Central Asia],-0.189875,0.952541,-2.092494,1.682308,7406.917325,4615.667326,0.999957
z_delta_region[Latin America & Caribbean],0.034907,0.992659,-1.791678,2.085011,8720.209956,4634.876807,1.000698
z_delta_region[Middle East & North Africa],0.153886,1.034054,-1.857394,2.10776,8527.593782,4154.81481,1.000366
z_delta_region[North America],0.005845,1.017411,-1.969136,2.005879,9520.899397,4257.260726,1.00181
z_delta_region[South Asia],-0.002068,1.013108,-1.971386,1.978623,10132.434459,4109.057891,1.00049
z_delta_region[Sub-Saharan Africa],-0.024869,1.007948,-2.031064,1.838527,8908.595905,4107.893579,1.001666
alpha_global,0.206113,0.03856,0.128567,0.278633,1025.904182,1609.345513,1.003136
z_alpha_region[East Asia & Pacific],0.719717,0.584822,-0.418489,1.848863,1863.001254,3053.371961,1.002733
z_alpha_region[Europe & Central Asia],0.336603,0.547516,-0.687454,1.453358,1363.241518,2372.540594,1.001198
z_alpha_region[Latin America & Caribbean],-0.8128,0.593906,-2.057875,0.280217,1312.317841,2117.939537,1.004922
z_alpha_region[Middle East & North Africa],0.052176,0.642725,-1.226437,1.347451,2294.415164,3309.068865,1.000953
z_alpha_region[North America],-0.083714,0.773897,-1.68471,1.379875,5613.903821,4032.416739,1.002597
z_alpha_region[South Asia],0.916749,0.684984,-0.409036,2.271762,3179.943455,3020.336588,1.001285
z_alpha_region[Sub-Saharan Africa],-0.99031,0.622996,-2.25389,0.179954,1348.359792,2437.266117,1.003216
z_alpha_country[ABW],-0.118573,0.969662,-2.12616,1.769725,8571.43614,3887.0319,1.000463
z_alpha_country[AFG],0.017558,1.008126,-1.836698,2.162409,9435.186328,4589.76763,1.000957
z_alpha_country[AGO],-0.052808,0.979065,-1.946909,1.853966,10098.093737,4652.421224,1.000348
z_alpha_country[ALB],0.036756,0.964491,-1.779238,1.99505,8908.619181,4500.778611,1.001436
