ISO3,Country,Region,g_pop,P_concordant_expansion,P_benign_divergence,P_reverse_divergence,P_concordant_contraction,P_pc_gain,P_agg_loss
HKG,"Hong Kong SAR, China",East Asia & Pacific,-0.016723485727895657,0.711,0.281,0.0,0.008,0.992,0.289
PRI,Puerto Rico,Latin America & Caribbean,-0.015534709786481343,0.343,0.528,0.0,0.129,0.871,0.657
JAM,Jamaica,Latin America & Caribbean,-0.01287992599919606,0.35,0.488,0.0,0.162,0.838,0.65
UKR,Ukraine,Europe & Central Asia,-0.012010216119313008,0.815,0.169,0.0,0.016,0.984,0.185
KOR,"Korea, Rep.",East Asia & Pacific,-0.011337531152025314,0.91,0.081,0.0,0.009,0.991,0.09
LTU,Lithuania,Europe & Central Asia,-0.011328758806588863,0.847,0.131,0.0,0.022,0.978,0.153
ALB,Albania,Europe & Central Asia,-0.011275444333749354,0.806,0.174,0.0,0.02,0.98,0.194
BIH,Bosnia and Herzegovina,Europe & Central Asia,-0.01104858977459326,0.891,0.105,0.0,0.004,0.996,0.109
CHN,China,East Asia & Pacific,-0.010616872011163906,0.932,0.062,0.0,0.006,0.994,0.068
MUS,Mauritius,Sub-Saharan Africa,-0.010285656215698573,0.584,0.297,0.0,0.119,0.881,0.416
MAC,"Macao SAR, China",East Asia & Pacific,-0.010223542568706877,0.857,0.129,0.0,0.014,0.986,0.143
MKD,North Macedonia,Europe & Central Asia,-0.009839901273051512,0.859,0.119,0.0,0.022,0.978,0.141
BLR,Belarus,Europe & Central Asia,-0.00964615004678089,0.877,0.113,0.0,0.01,0.99,0.123
MDA,Moldova,Europe & Central Asia,-0.009380962572578273,0.836,0.139,0.0,0.025,0.975,0.164
LVA,Latvia,Europe & Central Asia,-0.009269723766114691,0.889,0.095,0.0,0.016,0.984,0.111
POL,Poland,Europe & Central Asia,-0.009079289038166983,0.868,0.111,0.0,0.021,0.979,0.132
CUB,Cuba,Latin America & Caribbean,-0.008912554101729028,0.627,0.264,0.0,0.109,0.891,0.373
MNE,Montenegro,Europe & Central Asia,-0.008844018325903168,0.872,0.107,0.0,0.021,0.979,0.128
BGR,Bulgaria,Europe & Central Asia,-0.008540049704740624,0.918,0.074,0.0,0.008,0.992,0.082
HRV,Croatia,Europe & Central Asia,-0.007804624964414061,0.892,0.086,0.0,0.022,0.978,0.108
ROU,Romania,Europe & Central Asia,-0.007482063368488548,0.914,0.069,0.0,0.017,0.983,0.086
ARM,Armenia,Europe & Central Asia,-0.007418760149737347,0.909,0.074,0.0,0.017,0.983,0.091
TTO,Trinidad and Tobago,Latin America & Caribbean,-0.006813548192907926,0.733,0.174,0.0,0.093,0.907,0.267
ITA,Italy,Europe & Central Asia,-0.00680625127396496,0.919,0.064,0.0,0.017,0.983,0.081
EST,Estonia,Europe & Central Asia,-0.006574321989945865,0.948,0.04,0.0,0.012,0.988,0.052
JPN,Japan,East Asia & Pacific,-0.006269535511114123,0.973,0.025,0.0,0.002,0.998,0.027
SVK,Slovak Republic,Europe & Central Asia,-0.006239844192620449,0.931,0.052,0.0,0.017,0.983,0.069
GRC,Greece,Europe & Central Asia,-0.006193288999982038,0.933,0.05,0.0,0.017,0.983,0.067
GRD,Grenada,Latin America & Caribbean,-0.00607111451629852,0.737,0.154,0.0,0.109,0.891,0.263
THA,Thailand,East Asia & Pacific,-0.005962140571206362,0.955,0.035,0.0,0.01,0.99,0.045
CUW,Curacao,Latin America & Caribbean,-0.005680130328803184,0.74,0.142,0.0,0.118,0.882,0.26
PYF,French Polynesia,East Asia & Pacific,-0.0054058777820003255,0.916,0.058,0.0,0.026,0.974,0.084
URY,Uruguay,Latin America & Caribbean,-0.005404241861586746,0.798,0.102,0.0,0.1,0.9,0.202
MLT,Malta,Middle East & North Africa,-0.005327973317134469,0.943,0.042,0.0,0.015,0.985,0.057
CHL,Chile,Latin America & Caribbean,-0.005083739915792673,0.767,0.13,0.0,0.103,0.897,0.233
BRB,Barbados,Latin America & Caribbean,-0.0048962117038442885,0.788,0.099,0.0,0.113,0.887,0.212
ESP,Spain,Europe & Central Asia,-0.004854896588131024,0.94,0.037,0.0,0.023,0.977,0.06
ABW,Aruba,Latin America & Caribbean,-0.0047763584165992886,0.774,0.116,0.0,0.11,0.89,0.226
SGP,Singapore,East Asia & Pacific,-0.0044366776287386315,0.848,0.089,0.0,0.063,0.937,0.152
ATG,Antigua and Barbuda,Latin America & Caribbean,-0.004233240966693909,0.816,0.096,0.0,0.088,0.912,0.184
CRI,Costa Rica,Latin America & Caribbean,-0.004030228225040147,0.787,0.104,0.0,0.109,0.891,0.213
CZE,Czechia,Europe & Central Asia,-0.0035004899770982568,0.965,0.02,0.0,0.015,0.985,0.035
SVN,Slovenia,Europe & Central Asia,-0.003433895074012327,0.965,0.014,0.0,0.021,0.979,0.035
BRA,Brazil,Latin America & Caribbean,-0.0034289251557810554,0.791,0.079,0.0,0.13,0.87,0.209
HUN,Hungary,Europe & Central Asia,-0.0034211518103341013,0.964,0.019,0.0,0.017,0.983,0.036
GEO,Georgia,Europe & Central Asia,-0.0032717964605490477,0.971,0.019,0.0,0.01,0.99,0.029
CPV,Cabo Verde,Sub-Saharan Africa,-0.0030292318799192337,0.83,0.059,0.0,0.111,0.889,0.17
