ISO3,Country,Region,GDP_2024,GDPpc_2024,Pop_2024,GDP_2050,GDPpc_2050,Pop_2050,GDP_2075,GDPpc_2075,Pop_2075,GDP_2100,GDPpc_2100,Pop_2100,g_agg,g_pc,g_pop,identity_residual,GDP_2100_lo,GDP_2100_hi,beta_expansion,beta_contraction,alpha_decadal,rank_agg_2024,rank_pc_2024,rank_agg_2050,rank_pc_2050,rank_agg_2075,rank_pc_2075,rank_agg_2100,rank_pc_2100
USA,United States,North America,22407441124938.156,64868.89835969844,345426571.0,37292099453208.94,97918.87100569869,380846910.0,57992419679235.82,143933.87162893635,402910163.0,88411243176729.6,209863.92977486606,421278889.0,0.018060605921561505,0.015448566874315912,0.0026120390472455907,2.168404344971009e-18,24992366227144.375,322769244166342.1,0.9800000000000003,1.22,0.20308346950776485,1,6,1,6,1,8,1,9
CHN,China,East Asia & Pacific,18117493111934.734,12764.899246395104,1419321278.0,26961738896287.414,21393.297018946283,1260289093.0,34144760977000.715,36539.30358200336,934466660.0,40067447788606.79,63260.91725524993,633368113.0,0.010443240618238828,0.02106011262940273,-0.010616872011163906,3.469446951953614e-18,9685534900172.967,127443219324934.67,0.9800000000000003,1.22,0.2907919427979017,2,61,2,57,2,54,2,49
IND,India,South Asia,3357071373677.7056,2313.7284189288466,1450935791.0,7787599389308.6875,4636.609425536156,1679589259.0,13749810598404.447,8229.180220854494,1670860308.0,22148617116596.246,14714.227673038575,1505251761.0,0.024825080038971024,0.024341508382460502,0.00048357165651052484,-3.198396408832238e-18,5272788100006.6,90096143780115.19,0.9800000000000003,1.22,0.2788064973401978,6,127,3,124,3,121,3,114
GBR,United Kingdom,Europe & Central Asia,3358320134230.5713,48574.02308452861,69138192.0,5945369869198.344,78741.73879627866,75504681.0,9729566877336.62,127943.9665867626,76045531.0,15156075976777.1,203970.01742951263,74305411.0,0.01982842917400323,0.01888005429057059,0.0009483748834326445,-3.144186300207963e-18,4353290963235.763,50474353203335.305,0.9800000000000003,1.22,0.22596089457647617,5,14,5,14,4,12,4,10
JPN,Japan,East Asia & Pacific,4722979230328.149,38164.550884274024,123753041.0,6374487136222.336,60638.271449930115,105123167.0,9261828405476.824,106027.7807717544,87352846.0,13862200374938.322,180389.38082947079,76845989.0,0.01416744664508629,0.020436982156200413,-0.006269535511114123,0.0,3855690236904.925,42167982919832.87,0.9800000000000003,1.22,0.26229392464775425,3,25,4,24,5,24,5,20
FRA,France,Europe & Central Asia,2750708953977.2734,41333.8800117339,66548530.0,4549928225628.52,66695.24921701135,68219675.0,7452961026328.319,109889.59843624676,67822261.0,12525590931722.938,182896.572563452,68484558.0,0.019946251922839213,0.019568925169471858,0.00037732675336735666,-1.3010426069826053e-18,3385812150391.132,38349142401019.67,0.9800000000000003,1.22,0.2289574190002998,7,23,7,23,7,22,6,19
DEU,Germany,Europe & Central Asia,3780554737669.55,44712.64922424588,84552242.0,5260198622987.873,67184.68131374342,78294613.0,8208445189424.607,112693.82447069151,72838465.0,12460725654208.977,175751.05404941298,70899863.0,0.01569356573030179,0.018010685343588028,-0.002317119613286237,0.0,3448332558822.498,40296166636568.695,0.9800000000000003,1.22,0.2277316061080636,4,21,6,21,6,21,7,21
AUS,Australia,East Asia & Pacific,1691728150227.4258,63329.28415843123,26713205.0,3375308820503.0146,103833.39094158592,32506969.0,6296270494876.833,167189.05678001585,37659585.0,11255707375215.574,260888.87342876656,43143685.0,0.024935851864290638,0.01862824601637399,0.006307605847916645,2.6020852139652106e-18,3548426692426.527,35768141987643.3,0.9800000000000003,1.22,0.25156210193022643,12,7,8,5,8,5,8,4
CAN,Canada,North America,1842174660226.0637,46352.84405674398,39742430.0,3207234739575.5264,70300.3602432606,45621882.0,5431297570485.404,109366.29781345243,49661529.0,9118926008335.918,170090.39407564918,53612234.0,0.02104480632368855,0.017105886513313878,0.003938919810374673,0.0,1913542931371.691,29869245930153.92,0.9800000000000003,1.22,0.19938589879725965,11,16,9,20,9,23,9,23
IDN,Indonesia,East Asia & Pacific,1209995527936.7083,4268.243532161898,283487931.0,2560982820383.8,7985.280383498952,320712949.0,4607856317378.766,14504.434780699456,317686031.0,7299935756854.754,24702.74964379338,295511061.0,0.02364801163161871,0.02310147588445229,0.0005465357471664174,2.3852447794681098e-18,1790026570191.7947,27466065757513.082,0.9800000000000003,1.22,0.2608247863715061,16,106,11,102,10,87,10,79
SAU,Saudi Arabia,Middle East & North Africa,882049258123.073,25971.073494506734,33962757.0,1955370470096.9229,40998.32599375733,47693910.0,3718998462924.765,62256.96025946524,59736268.0,6726397389021.441,94729.06551511472,71006690.0,0.026730882505450942,0.017026809399385272,0.009704073106065669,1.734723475976807e-18,1433822879383.6145,22378979407500.074,0.9800000000000003,1.22,0.2075287120628472,18,34,16,31,12,32,11,34
PAK,Pakistan,South Asia,409515052040.8539,1629.7863435437462,251269164.0,1308863814073.351,3519.7398582801825,371863793.0,3184580447068.466,6823.639757940673,466698208.0,6271266599187.49,12272.522533793668,511000618.0,0.03590473635430892,0.026564656505559846,0.009340079848749076,0.0,1378263030617.0457,24973936682869.6,0.9800000000000003,1.22,0.2751378034548318,34,138,19,132,14,126,12,121
