period,tau_mean,hdi_lo,hdi_hi
1961-1970,0.15381673380939118,0.1105377609236594,0.1957204809605326
1971-1980,0.05453116000668313,0.013032480612826601,0.09271960980175337
1981-1990,-0.11339076818784515,-0.14959758813121202,-0.07621802394363256
1991-2000,-0.07018503170772206,-0.10261581047576401,-0.03600777857555284
2001-2010,0.054701651059572344,0.02199719996460412,0.08714393097657028
2011-2020,-0.07947374498007946,-0.11422344382530808,-0.04333117117444192
