ISO3,Country,Region,g_pop,P_concordant_expansion,P_benign_divergence,P_reverse_divergence,P_concordant_contraction,P_pc_gain,P_agg_loss
HKG,"Hong Kong SAR, China",East Asia & Pacific,-0.016723485727895657,0.532,0.439,0.0,0.029,0.971,0.468
PRI,Puerto Rico,Latin America & Caribbean,-0.015534709786481343,0.205,0.578,0.0,0.217,0.783,0.795
JAM,Jamaica,Latin America & Caribbean,-0.01287992599919606,0.207,0.514,0.0,0.279,0.721,0.793
UKR,Ukraine,Europe & Central Asia,-0.012010216119313008,0.719,0.248,0.0,0.033,0.967,0.281
KOR,"Korea, Rep.",East Asia & Pacific,-0.011337531152025314,0.841,0.144,0.0,0.015,0.985,0.159
LTU,Lithuania,Europe & Central Asia,-0.011328758806588863,0.797,0.168,0.0,0.035,0.965,0.203
ALB,Albania,Europe & Central Asia,-0.011275444333749354,0.686,0.278,0.0,0.036,0.964,0.314
BIH,Bosnia and Herzegovina,Europe & Central Asia,-0.01104858977459326,0.809,0.171,0.0,0.02,0.98,0.191
CHN,China,East Asia & Pacific,-0.010616872011163906,0.876,0.11,0.0,0.014,0.986,0.124
MUS,Mauritius,Sub-Saharan Africa,-0.010285656215698573,0.45,0.372,0.0,0.178,0.822,0.55
MAC,"Macao SAR, China",East Asia & Pacific,-0.010223542568706877,0.77,0.189,0.0,0.041,0.959,0.23
MKD,North Macedonia,Europe & Central Asia,-0.009839901273051512,0.787,0.172,0.0,0.041,0.959,0.213
BLR,Belarus,Europe & Central Asia,-0.00964615004678089,0.82,0.154,0.0,0.026,0.974,0.18
MDA,Moldova,Europe & Central Asia,-0.009380962572578273,0.751,0.203,0.0,0.046,0.954,0.249
LVA,Latvia,Europe & Central Asia,-0.009269723766114691,0.839,0.136,0.0,0.025,0.975,0.161
POL,Poland,Europe & Central Asia,-0.009079289038166983,0.804,0.161,0.0,0.035,0.965,0.196
CUB,Cuba,Latin America & Caribbean,-0.008912554101729028,0.532,0.304,0.0,0.164,0.836,0.468
MNE,Montenegro,Europe & Central Asia,-0.008844018325903168,0.802,0.157,0.0,0.041,0.959,0.198
BGR,Bulgaria,Europe & Central Asia,-0.008540049704740624,0.86,0.123,0.0,0.017,0.983,0.14
HRV,Croatia,Europe & Central Asia,-0.007804624964414061,0.849,0.116,0.0,0.035,0.965,0.151
ROU,Romania,Europe & Central Asia,-0.007482063368488548,0.883,0.091,0.0,0.026,0.974,0.117
ARM,Armenia,Europe & Central Asia,-0.007418760149737347,0.861,0.107,0.0,0.032,0.968,0.139
TTO,Trinidad and Tobago,Latin America & Caribbean,-0.006813548192907926,0.662,0.214,0.0,0.124,0.876,0.338
ITA,Italy,Europe & Central Asia,-0.00680625127396496,0.886,0.089,0.0,0.025,0.975,0.114
EST,Estonia,Europe & Central Asia,-0.006574321989945865,0.921,0.058,0.0,0.021,0.979,0.079
JPN,Japan,East Asia & Pacific,-0.006269535511114123,0.952,0.043,0.0,0.005,0.995,0.048
SVK,Slovak Republic,Europe & Central Asia,-0.006239844192620449,0.9,0.071,0.0,0.029,0.971,0.1
GRC,Greece,Europe & Central Asia,-0.006193288999982038,0.893,0.083,0.0,0.024,0.976,0.107
GRD,Grenada,Latin America & Caribbean,-0.00607111451629852,0.656,0.198,0.0,0.146,0.854,0.344
THA,Thailand,East Asia & Pacific,-0.005962140571206362,0.934,0.054,0.0,0.012,0.988,0.066
CUW,Curacao,Latin America & Caribbean,-0.005680130328803184,0.686,0.155,0.0,0.159,0.841,0.314
PYF,French Polynesia,East Asia & Pacific,-0.0054058777820003255,0.889,0.069,0.0,0.042,0.958,0.111
URY,Uruguay,Latin America & Caribbean,-0.005404241861586746,0.734,0.14,0.0,0.126,0.874,0.266
MLT,Malta,Middle East & North Africa,-0.005327973317134469,0.923,0.057,0.0,0.02,0.98,0.077
