Region,beta_growth,growth_hdi_lo,growth_hdi_hi,beta_decline,decline_hdi_lo,decline_hdi_hi
Middle East & North Africa,0.7320722471071202,0.4674508073918216,1.006592507017685,0.7370457735597874,-0.26918898691923193,1.6982672070957636
North America,0.7928709663012542,0.41570292958556154,1.17980755400755,0.7390883502192764,-0.30946261599605496,1.6768648853397492
East Asia & Pacific,0.8019152058190818,0.5200297934526026,1.0533925919530212,0.7297016337869057,-0.16720951355471592,1.692687441903789
South Asia,0.8115270926605906,0.4786146698648346,1.1235325755997703,0.7550030404414209,-0.27069896722835274,1.7248850663699673
Europe & Central Asia,0.818852227805856,0.5282441301503344,1.1097993364347265,0.7032193399988149,-0.062153026354594076,1.4851792830111834
Sub-Saharan Africa,0.8279148313479772,0.5803491542099917,1.0965081030356751,0.7671699847866228,-0.23935438902193718,1.7726372387457916
Latin America & Caribbean,0.8303931532580908,0.5686932790304423,1.08836153055829,0.7941689428390355,-0.14080914012330892,1.7670802905763774
