ISO3,Region,n_obs,beta_mean,hdi_lo,hdi_hi
MMR,East Asia & Pacific,12,1.0526396974046277,0.5222754287634599,1.5854302818688573
URY,Latin America & Caribbean,12,1.0535638724344827,0.49975509964583575,1.640900008467116
BIH,Europe & Central Asia,6,1.0546007269793838,0.5368789106866183,1.6385786259619395
FSM,East Asia & Pacific,10,1.0547577865861848,0.5533777482311037,1.5743990696293686
ECU,Latin America & Caribbean,12,1.0555554440691515,0.5325263670305506,1.5538335190172285
TTO,Latin America & Caribbean,12,1.0586536057888343,0.5094413568360663,1.6210667874891749
BRB,Latin America & Caribbean,12,1.0606080633282258,0.5013356354823623,1.6285701910968693
SYR,Middle East & North Africa,12,1.061049619729091,0.5507607111707825,1.5206526256787718
CUB,Latin America & Caribbean,10,1.0621894017170943,0.5111762371166846,1.6802866175179607
GIN,Sub-Saharan Africa,10,1.0633834450209785,0.5191193865681263,1.5602188447965684
BHS,Latin America & Caribbean,12,1.0637130698425927,0.5913490797124255,1.5744485463794176
VIR,Latin America & Caribbean,3,1.0640306038343017,0.52117654950045,1.6395159915812243
ASM,East Asia & Pacific,3,1.0674994194666423,0.5395263748385644,1.620964238160337
COL,Latin America & Caribbean,12,1.076332729417912,0.5784761401418161,1.5872599664125324
SUR,Latin America & Caribbean,12,1.0791582467372192,0.5570101939229531,1.5997354729451587
BLZ,Latin America & Caribbean,12,1.081624673512421,0.6091416063893016,1.6008044946880098
MAC,East Asia & Pacific,7,1.0852520683808564,0.5975777917792148,1.5851826658954564
CRI,Latin America & Caribbean,12,1.0882563208279346,0.6220200921196206,1.613526279402196
GNQ,Sub-Saharan Africa,8,1.0902483476139944,0.6533639216671401,1.5034877475322042
BMU,North America,12,1.0933684621954904,0.4830363310988105,1.7167081022870558
GUY,Latin America & Caribbean,12,1.094116772562174,0.5427831164448997,1.6526506925177236
LSO,Sub-Saharan Africa,12,1.094426184198445,0.5906801496744806,1.600270594302039
CHL,Latin America & Caribbean,12,1.095418652316424,0.5588897049081264,1.645981198574261
MOZ,Sub-Saharan Africa,8,1.1002220420748612,0.6205172233103239,1.6357287952863795
BFA,Sub-Saharan Africa,12,1.1033626650941268,0.6310598610158663,1.6470766928438076
IDN,East Asia & Pacific,12,1.106152009733615,0.602001755305774,1.6175817814739522
MEX,Latin America & Caribbean,12,1.1064256529893877,0.6095280225331269,1.6366157521029672
ETH,Sub-Saharan Africa,11,1.1085302191309105,0.6196372358033566,1.5650790881258223
LCA,Latin America & Caribbean,8,1.1105984344200666,0.5708177638097434,1.700831513292994
TLS,East Asia & Pacific,6,1.1132491846653103,0.5861433342186507,1.675981413185041
MUS,Sub-Saharan Africa,12,1.114299615979826,0.5707189527658173,1.676236792589552
