ISO3,Country,Region,GDP_2024,GDPpc_2024,Pop_2024,GDP_2050,GDPpc_2050,Pop_2050,GDP_2075,GDPpc_2075,Pop_2075,GDP_2100,GDPpc_2100,Pop_2100,g_agg,g_pc,g_pop,identity_residual,GDP_2100_lo,GDP_2100_hi,beta_expansion,beta_contraction,alpha_decadal,rank_agg_2024,rank_pc_2024,rank_agg_2050,rank_pc_2050,rank_agg_2075,rank_pc_2075,rank_agg_2100,rank_pc_2100
USA,United States,North America,22407441124938.156,64868.89835969844,345426571.0,39634801110018.83,104070.16591002098,380846910.0,65262238765486.85,161977.14716242303,402910163.0,106245079946508.44,252196.5441912007,421278889.0,0.02047836057331399,0.017866321526068395,0.0026120390472455907,5.637851296924623e-18,30203795219470.88,383187692623911.94,0.7768988331304792,0.7132512799916437,0.20308346950776485,1,6,1,6,1,9,1,11
CHN,China,East Asia & Pacific,18117493111934.734,12764.899246395104,1419321278.0,29079989720799.83,23074.062833930937,1260289093.0,40079216042408.7,42889.93685703961,934466660.0,52510525147764.53,82906.80264758534,633368113.0,0.014001785351271919,0.02461865736243582,-0.010616872011163906,5.204170427930421e-18,8586048447102.745,243350500097636.75,1.0294165857094026,0.945233973032093,0.2907919427979017,2,61,2,55,2,51,2,46
IND,India,South Asia,3357071373677.7056,2313.7284189288466,1450935791.0,7697966781802.141,4583.243635640647,1679589259.0,14245553250218.19,8525.879262324417,1670860308.0,25328360788943.8,16826.660792024013,1505251761.0,0.0265902074839984,0.026106635827487873,0.00048357165651052484,3.74049749507499e-18,5395622405613.577,107927294630236.06,0.8371570288195821,0.7681059153952449,0.2788064973401978,6,127,3,121,3,119,3,109
JPN,Japan,East Asia & Pacific,4722979230328.149,38164.550884274024,123753041.0,7237416707225.486,68847.01929904267,105123167.0,11331464337732.443,129720.60850464384,87352846.0,18480753857173.812,240490.80632137888,76845989.0,0.017951185068071945,0.02422072057918607,-0.006269535511114123,0.0,4510118351559.722,73269565263987.17,0.8919038276854804,0.8077212150081707,0.26229392464775425,3,25,4,23,4,20,4,13
GBR,United Kingdom,Europe & Central Asia,3358320134230.5713,48574.02308452861,69138192.0,6013036227076.287,79637.92638334949,75504681.0,10273949826028.523,135102.6114345697,76045531.0,17125858149760.283,230479.28703012332,74305411.0,0.021436165854272313,0.020487790970839664,0.0009483748834326445,3.7947076036992655e-18,4620467929099.597,60331951450666.58,0.8117868707228609,0.6960137325344129,0.22596089457647617,5,14,5,15,5,17,5,18
DEU,Germany,Europe & Central Asia,3780554737669.55,44712.64922424588,84552242.0,5868394549770.484,74952.72439459512,78294613.0,9748327120052.387,133834.87859131006,72838465.0,15623137179922.084,220354.96993727738,70899863.0,0.01866950280485563,0.02098662241814187,-0.002317119613286237,0.0,3830417087262.8228,55510897742398.49,0.8280131217040536,0.7122399835156057,0.2277316061080636,4,21,6,19,6,18,6,20
FRA,France,Europe & Central Asia,2750708953977.2734,41333.8800117339,66548530.0,4690267114958.943,68752.41072255098,68219675.0,7999947198211.566,117954.59308281637,67822261.0,14002560353719.268,204463.03170591051,68484558.0,0.02141291467635724,0.021035587922989884,0.00037732675336735666,-1.3010426069826053e-18,3527031539237.7896,47241885718943.6,0.8318117561730772,0.7160386179846292,0.2289574190002998,7,23,7,24,7,23,7,22
AUS,Australia,East Asia & Pacific,1691728150227.4258,63329.28415843123,26713205.0,3433814761063.943,105633.18779625202,32506969.0,6543236215249.66,173746.90175820206,37659585.0,12203421146095.297,282855.32740412175,43143685.0,0.025999549390501964,0.019691943542585317,0.006307605847916645,2.6020852139652106e-18,3440414806212.074,39654004552407.76,0.7703448395116674,0.6861622268343578,0.25156210193022643,12,7,8,5,8,5,8,6
CAN,Canada,North America,1842174660226.0637,46352.84405674398,39742430.0,3198408266686.315,70106.89008152524,45621882.0,5384907989433.014,108432.18277538361,49661529.0,9145228960691.98,170581.00881772581,53612234.0,0.021082704788547357,0.01714378497817268,0.003938919810374673,3.469446951953614e-18,1912524964266.5383,33176105449504.66,0.766089860853697,0.7024423077148616,0.19938589879725965,11,16,9,22,9,26,9,27
IDN,Indonesia,East Asia & Pacific,1209995527936.7083,4268.243532161898,283487931.0,2554172580861.1704,7964.045695146442,320712949.0,4721281836036.379,14861.47131233598,317686031.0,8108708355753.663,27439.61030871079,295511061.0,0.025030551659645513,0.024484015912479094,0.0005465357471664174,2.3852447794681098e-18,1931696972175.073,31209275691270.305,0.8639737322797375,0.7797911196024279,0.2608247863715061,16,106,13,101,10,90,10,82
RUS,Russian Federation,Europe & Central Asia,1580293378849.8423,10912.089235161551,144820423.0,2534152654628.052,18615.30152917291,136132775.0,4342528786160.323,33779.78742904044,128554059.0,7090783833573.592,56103.958824828675,126386515.0,0.01975243916606394,0.021543882875653158,-0.001791443709589219,1.5178830414797062e-18,1792815456135.9622,25779983986924.645,0.8132260173840459,0.6974528791955978,0.2224143042481382,13,67,14,66,12,60,11,59
ITA,Italy,Europe & Central Asia,2065819238301.8225,34811.58465602652,59342867.0,2961636409099.245,57074.07370769398,51891099.0,4550241389833.438,109271.22409081832,41641717.0,6674219151436.865,188660.79434997466,35376821.0,0.015430596619437414,0.022236847893402373,-0.00680625127396496,8.673617379884035e-19,1568740316731.0793,24690841876262.25,0.8354669024284832,0.7196937642400351,0.22571379021565552,8,28,10,27,11,25,12,23
SAU,Saudi Arabia,Middle East & North Africa,882049258123.073,25971.073494506734,33962757.0,1821497426872.4595,38191.40487480392,47693910.0,3335764369140.2236,55841.52610839739,59736268.0,5984499933161.049,84280.79006585223,71006690.0,0.02519315998006985,0.015489086874004182,0.009704073106065669,0.0,1340886950635.5166,21003627692492.285,0.6880581036075057,0.6816748650586268,0.2075287120628472,18,34,17,34,15,41,13,45
PAK,Pakistan,South Asia,409515052040.8539,1629.7863435437462,251269164.0,1210930297593.1084,3256.381289030493,371863793.0,2834853853484.1875,6074.276277238647,466698208.0,5789435143230.756,11329.604973649475,511000618.0,0.03485284669433566,0.025512766845586586,0.009340079848749076,-3.469446951953614e-18,1326845351181.6384,22716455952926.098,0.7964097137694981,0.7273586003451608,0.2751378034548318,34,138,20,133,18,130,14,125
ESP,Spain,Europe & Central Asia,1412924704033.5063,29490.903607142747,47910526.0,2125089154643.4985,47299.29579853194,44928558.0,3357266785976.1855,89183.17166197566,37644622.0,5218290470546.537,157521.5134260005,33127478.000000004,0.017190895235861894,0.022045791823992918,-0.004854896588131024,0.0,1224822921694.5828,20542018833171.215,0.839647418406305,0.7238742802178569,0.23208998360197328,14,31,16,29,14,28,15,28
KOR,"Korea, Rep.",East Asia & Pacific,1932745548315.1235,37371.144871892204,51717590.0,2708770351729.535,60004.03852620279,45143134.0,3502349758324.4062,109534.57546828802,31974833.0,4648224207799.257,212745.14492812243,21848791.0,0.01154662763078073,0.022884158782806044,-0.011337531152025314,0.0,769480964188.4384,19587015701137.938,1.0856851176520155,1.0015025049747057,0.2834336694757407,10,26,12,25,13,24,16,21
NLD,Netherlands,Europe & Central Asia,932026913987.8931,51129.52468074281,18228742.0,1595368482007.6118,84150.67572722024,18958475.0,2648318959490.6133,143996.60884735262,18391537.0,4155642056891.7773,237363.28912480784,17507518.0,0.019669217496595753,0.020200391055813637,-0.0005311735592178839,7.589415207398531e-19,1111586672689.7932,14474524578497.023,0.8115764020003694,0.6958032638119214,0.22770696265015725,17,13,18,13,19,13,17,17
BRA,Brazil,Latin America & Caribbean,1991068635861.1792,9391.896406119578,211998573.0,2771074097079.875,12741.197428200248,217489299.0,3266048318952.259,16757.91102518395,194895910.0,3945971508990.0337,24154.46465013281,163364064.0,0.009000311707915628,0.012429236863696683,-0.0034289251557810554,-4.336808689942018e-19,804332667750.3152,18279352894523.63,0.9006304512235763,0.8470746440102094,0.15307767038669567,9,71,11,75,16,84,18,91
ISR,Israel,Middle East & North Africa,422894187122.11914,45050.94716653123,9387021.0,976783170262.9443,74605.04929860607,13092722.0,2010441259228.9863,120614.54677506314,16668314.999999998,3701106850189.134,187425.90536045574,19747040.0,0.02854296320381075,0.018757757727383795,0.009785205476426955,0.0,972727804713.69,13618653798585.0,0.8394765999722015,0.8330933614233227,0.22005074566032554,32,20,23,21,22,22,19,24
